# Layers Neurons R2_Score
1 10 -0.6589324474
1 20 0.2861477137
1 30 0.4797867835
1 40 0.4484516680
1 50 0.6193077564
1 60 0.6895551682
1 70 0.6130977869
1 80 0.4958649278
1 90 0.7098764181
1 100 0.4581116736
1 110 0.7783713341
1 120 0.7962741852
1 130 0.5546633005
1 140 0.7659166455
1 150 0.7519328594
1 160 0.8114633560
1 170 0.6543669701
1 180 0.5933966637
1 190 0.6629761457
1 200 0.7042823434
2 10 0.1231963262
2 20 0.7573490739
2 30 0.6374852657
2 40 0.7083790302
2 50 0.7126995921
2 60 0.4606676400
2 70 0.3099884987
2 80 0.6503488421
2 90 0.5268769264
2 100 0.5176839232
2 110 0.6439501047
2 120 0.5553947091
2 130 0.5942814350
2 140 0.2579451501
2 150 0.7930799127
2 160 0.6868019104
2 170 0.3814901114
2 180 0.4295881391
2 190 0.3999678493
2 200 0.7392136455
3 10 0.3960570991
3 20 0.7366512418
3 30 0.7411101460
3 40 0.5427798629
3 50 0.7216468453
3 60 0.7204936147
3 70 0.7346889377
3 80 0.6657147408
3 90 0.7337413430
3 100 0.6438384056
3 110 0.6947882771
3 120 0.2889802456
3 130 0.6585002542
3 140 0.6487911940
3 150 0.5012363791
3 160 0.7268355489
3 170 0.6945903301
3 180 0.6598628163
3 190 0.6785825491
3 200 0.7636076808
4 10 -0.0453976505
4 20 0.6314444542
4 30 0.6994009614
4 40 0.6972267032
4 50 0.4903602600
4 60 0.7083415389
4 70 0.5570692420
4 80 0.6272272468
4 90 0.6397201419
4 100 0.6173599362
4 110 0.5856484771
4 120 0.6170017719
4 130 0.5789162517
4 140 0.4370721877
4 150 0.7209056020
4 160 0.6131730080
4 170 0.5646008253
4 180 0.6727758646
4 190 0.6183945537
4 200 0.7754622698
5 10 0.2367937863
5 20 0.0187390465
5 30 0.5694878697
5 40 0.4796339273
5 50 0.6470072269
5 60 0.4249350131
5 70 0.5908354521
5 80 0.6253771186
5 90 0.7204347253
5 100 0.6258530617
5 110 0.6617045999
5 120 0.6844744086
5 130 0.6467485428
5 140 0.7353086472
5 150 0.5032788515
5 160 0.6569418311
5 170 0.6855890751
5 180 0.5268784165
5 190 0.6491068602
5 200 0.5982783437
