# Layers Neurons R2_Score
1 10 0.7717159986
1 20 0.8268620372
1 30 0.8392902017
1 40 0.7438763380
1 50 0.8418174982
1 60 0.7803551555
1 70 0.8187044859
1 80 0.6174466014
1 90 0.8202683330
1 100 0.7870855331
1 110 0.6594089866
1 120 0.8276563883
1 130 0.7574339509
1 140 0.8191032410
1 150 0.7308104634
1 160 0.7638164759
1 170 0.8075081706
1 180 0.7740440369
1 190 0.7589932084
1 200 0.8850430250
2 10 0.8113505840
2 20 0.8445159197
2 30 0.8490992188
2 40 0.7105549574
2 50 0.6525622606
2 60 0.8154743910
2 70 0.7474601865
2 80 0.8299021125
2 90 0.7913290262
2 100 0.8593102694
2 110 0.7965480089
2 120 0.7321349978
2 130 0.8037303686
2 140 0.8150389791
2 150 0.7640829086
2 160 0.7544311881
2 170 0.8561968207
2 180 0.8201490045
2 190 0.8160421252
2 200 0.7825980186
3 10 0.7782973051
3 20 0.7902250290
3 30 0.6971397400
3 40 0.7681817412
3 50 0.7745148540
3 60 0.7583039999
3 70 0.8379790783
3 80 0.8215887547
3 90 0.8048412800
3 100 0.6120318770
3 110 0.7241258025
3 120 0.7843207717
3 130 0.6919673681
3 140 0.6397494674
3 150 0.7735202909
3 160 0.8162571788
3 170 0.8001983762
3 180 0.8199704885
3 190 0.6824201345
3 200 0.8298434019
4 10 0.8110172749
4 20 0.7704722881
4 30 0.7621535063
4 40 0.8151121140
4 50 0.6770368218
4 60 0.7842139602
4 70 0.7608339190
4 80 0.7378746867
4 90 0.7936035991
4 100 0.8208193779
4 110 0.5858719349
4 120 0.4390196204
4 130 0.7119405270
4 140 0.7782862186
4 150 0.7565247416
4 160 0.8284362555
4 170 0.7596909404
4 180 0.7069305778
4 190 0.7003678679
4 200 0.7957499623
5 10 0.2400388718
5 20 0.7438022494
5 30 0.6430305243
5 40 0.7012402415
5 50 0.7917664647
5 60 0.6643881798
5 70 0.7180937529
5 80 0.7938525677
5 90 0.6661894917
5 100 0.6514282823
5 110 0.8142645955
5 120 0.6798039675
5 130 0.7607827783
5 140 0.6543021202
5 150 0.8190632463
5 160 0.7752084732
5 170 0.8039553761
5 180 0.7356305718
5 190 0.6916010976
5 200 0.6774886250
