# Layers Neurons R2_Score
1 10 -1.6892073154
1 20 -1.7151848078
1 30 -0.8394540548
1 40 -0.3533761203
1 50 -0.6300315261
1 60 -0.6939657927
1 70 -0.5308731198
1 80 0.0211077016
1 90 0.0225030631
1 100 -0.1027426869
1 110 0.2043072134
1 120 -0.2844620347
1 130 0.6347273588
1 140 0.5025580525
1 150 0.4953429103
1 160 0.4242537618
1 170 0.5890701413
1 180 0.4805288613
1 190 0.5973742604
1 200 0.5183983445
2 10 -1.5521236658
2 20 0.1279176325
2 30 -1.0900553465
2 40 -0.8936598897
2 50 0.3457024395
2 60 0.6095513701
2 70 0.2909288704
2 80 0.5729399920
2 90 0.5473884344
2 100 0.6041775942
2 110 0.2941279113
2 120 0.5678570271
2 130 0.5466708541
2 140 0.4788357913
2 150 0.6861847043
2 160 0.7237305045
2 170 0.4947024286
2 180 0.5926340222
2 190 0.5794434547
2 200 0.3813811243
3 10 -0.6278083920
3 20 0.6248687506
3 30 0.6985228658
3 40 0.5389710665
3 50 0.6587831974
3 60 0.0428074151
3 70 0.6567672491
3 80 0.6478997469
3 90 0.6968221664
3 100 0.3460448682
3 110 0.7013805509
3 120 0.5573886037
3 130 0.5877874494
3 140 0.5707976818
3 150 0.5097848773
3 160 0.6863319278
3 170 0.7110378742
3 180 0.7029614449
3 190 0.5646231771
3 200 0.7618430853
4 10 -0.7214902639
4 20 -0.3337077498
4 30 0.3914632499
4 40 0.3445478082
4 50 0.6292603612
4 60 0.4952002466
4 70 0.7086057663
4 80 0.5908887982
4 90 0.3638772070
4 100 0.6037102938
4 110 0.6045163274
4 120 0.6918476820
4 130 0.6139535904
4 140 0.6627264619
4 150 0.6829026341
4 160 0.7287950516
4 170 0.6681354046
4 180 0.6943725944
4 190 0.4678795934
4 200 0.6230985522
5 10 0.0306475498
5 20 -0.0611907132
5 30 0.5993619561
5 40 0.6669198275
5 50 0.7299805880
5 60 0.6299895048
5 70 0.6693432331
5 80 0.5399678349
5 90 0.6813831925
5 100 0.3318364620
5 110 0.5906813145
5 120 0.5119317174
5 130 0.5702705979
5 140 0.6033542156
5 150 0.3990116715
5 160 0.6107494831
5 170 0.4672352970
5 180 0.4258443117
5 190 0.4974859953
5 200 0.4002377093
