# Layers Neurons R2_Score
1 10 0.8288248777
1 20 0.8888157606
1 30 0.8667805791
1 40 0.8335405588
1 50 0.7735255361
1 60 0.8339112401
1 70 0.8292859793
1 80 0.7768405676
1 90 0.8680646420
1 100 0.8559529185
1 110 0.8386635780
1 120 0.7902377248
1 130 0.8070779443
1 140 0.8701757193
1 150 0.8670635819
1 160 0.8648071289
1 170 0.8599810600
1 180 0.7974099517
1 190 0.7859252691
1 200 0.8701900244
2 10 0.8133357167
2 20 0.8431800604
2 30 0.7804368138
2 40 0.8396908045
2 50 0.8042879105
2 60 0.8264115453
2 70 0.8172070384
2 80 0.8460133076
2 90 0.8546535969
2 100 0.8577141762
2 110 0.7833884358
2 120 0.7596534491
2 130 0.8152065873
2 140 0.8578581810
2 150 0.7367411852
2 160 0.8136709929
2 170 0.8414739370
2 180 0.8951401114
2 190 0.7378484011
2 200 0.8630804420
3 10 0.6687594652
3 20 0.7815092802
3 30 0.8138152361
3 40 0.8673269153
3 50 0.7042207718
3 60 0.8668775558
3 70 0.7301109433
3 80 0.7174786329
3 90 0.8584894538
3 100 0.7211212516
3 110 0.7864230275
3 120 0.8200113773
3 130 0.8755634427
3 140 0.6188642383
3 150 0.8510096669
3 160 0.7871652842
3 170 0.7718467712
3 180 0.6983274817
3 190 0.8238207698
3 200 0.7749762535
4 10 0.7474932075
4 20 0.7014392018
4 30 0.7686358094
4 40 0.7333638072
4 50 0.8243201971
4 60 0.7948086262
4 70 0.8388484120
4 80 0.7386152148
4 90 0.7876015306
4 100 0.8456224203
4 110 0.8063382506
4 120 0.8690475225
4 130 0.8410082459
4 140 0.7957923412
4 150 0.8671181798
4 160 0.8440015316
4 170 0.8239794970
4 180 0.7105231285
4 190 0.7962494493
4 200 0.7604001164
5 10 0.7612905502
5 20 0.7897439599
5 30 0.6373857260
5 40 0.8455429077
5 50 0.5678712130
5 60 0.8505930305
5 70 0.8053700924
5 80 0.8357529640
5 90 0.7010959387
5 100 0.7877851725
5 110 0.7580766678
5 120 0.7469804883
5 130 0.6539487839
5 140 0.7535083294
5 150 0.8213777542
5 160 0.7742648721
5 170 0.7885384560
5 180 0.7330726385
5 190 0.7172446251
5 200 0.8126382232
