# Layers Neurons R2_Score
1 10 -4.2631034851
1 20 -2.5983796120
1 30 -4.6312003136
1 40 -5.4532175064
1 50 -4.6468787193
1 60 -2.7105760574
1 70 -5.4825253487
1 80 -4.1702404022
1 90 -2.8205764294
1 100 -3.6664559841
1 110 -4.4578933716
1 120 -2.4580399990
1 130 -3.0659654140
1 140 -1.8505582809
1 150 -2.8371982574
1 160 -2.5389668941
1 170 -3.0641915798
1 180 -2.0938301086
1 190 -1.8704941273
1 200 -2.2195303440
2 10 -0.8346438408
2 20 -0.7932723165
2 30 -1.5068401098
2 40 -2.3136749268
2 50 -2.4500377178
2 60 -2.4602100849
2 70 -1.3203154802
2 80 -1.3805639744
2 90 -1.2457650900
2 100 -1.1155762672
2 110 -1.4925956726
2 120 -0.9321986437
2 130 -1.2034460306
2 140 -1.6267727613
2 150 -0.9411596060
2 160 -0.5657492876
2 170 -2.0224585533
2 180 -0.5867034793
2 190 -0.7253907323
2 200 -0.8001267314
3 10 -0.5446689725
3 20 -0.3826398849
3 30 -0.9284239411
3 40 -0.7338715792
3 50 -0.4688887894
3 60 -0.2937483490
3 70 -0.5295407772
3 80 -0.6480685472
3 90 -0.4493325949
3 100 -0.3721864820
3 110 -0.4755015373
3 120 -0.7147133946
3 130 -0.5459260941
3 140 -0.4182775021
3 150 -0.4070971310
3 160 -0.3013427556
3 170 -0.4523394108
3 180 -0.4320235550
3 190 -0.6524325013
3 200 -0.2577008903
4 10 -0.3323937654
4 20 -0.0560604110
4 30 -0.2676540613
4 40 -0.2818149030
4 50 -0.7022881508
4 60 -0.1588046104
4 70 -0.4307166636
4 80 -0.3201462626
4 90 -0.4364838600
4 100 -0.2780870199
4 110 -0.2966176569
4 120 -0.4961542487
4 130 -0.2787495255
4 140 -0.1292305738
4 150 -0.5139597058
4 160 -0.3380155265
4 170 -0.4279685020
4 180 -0.6422467232
4 190 -0.5154950023
4 200 -0.3322735727
5 10 -0.1038759276
5 20 -0.3708799481
5 30 -0.3383291364
5 40 -0.1824800372
5 50 -0.1809391379
5 60 -0.2298570573
5 70 -0.2918967009
5 80 -0.0808211491
5 90 -0.1705267280
5 100 -0.2775132358
5 110 -0.1414280683
5 120 -0.1680857241
5 130 -0.1170287505
5 140 -0.1516576260
5 150 -0.2367516160
5 160 -0.2457857877
5 170 -0.1756014675
5 180 -0.1059909612
5 190 -0.1976397038
5 200 -0.3802617490
