# Layers Neurons R2_Score
1 10 -2.4575908184
1 20 -2.2575700283
1 30 -0.7854351401
1 40 -2.4634521008
1 50 -1.5312560797
1 60 -0.8809923530
1 70 -1.4561946392
1 80 -1.0985291004
1 90 -0.8103178740
1 100 -0.4658964872
1 110 -0.9711440802
1 120 -0.7997590899
1 130 -0.7202863693
1 140 -0.8834292889
1 150 -0.3658379614
1 160 -0.6599571109
1 170 -0.9692923427
1 180 -1.1667120457
1 190 -0.2485379875
1 200 -1.1531350613
2 10 -0.8051256537
2 20 -2.5696239471
2 30 -0.8985819221
2 40 -0.7915759683
2 50 -1.3374360800
2 60 -1.3570486307
2 70 -0.3255979717
2 80 -0.5600522757
2 90 -1.3936556578
2 100 0.2392998338
2 110 -0.0787179694
2 120 -0.0934421271
2 130 0.2953425348
2 140 -1.3789348602
2 150 -0.4659579694
2 160 -0.2557092309
2 170 -0.8044657111
2 180 -0.1074602380
2 190 -0.0422804169
2 200 0.5600221753
3 10 0.0720263049
3 20 -0.5094590187
3 30 -0.7376298904
3 40 -0.8553090096
3 50 -0.3712798357
3 60 -0.6240288615
3 70 -2.0633676052
3 80 -1.9839599133
3 90 -0.6958249807
3 100 -0.3179405630
3 110 -0.1439097822
3 120 -0.0700238645
3 130 0.5800147057
3 140 0.2017036676
3 150 0.5827379823
3 160 0.3427101672
3 170 0.2124210894
3 180 -0.1056817770
3 190 0.5789617300
3 200 0.6160433888
4 10 -0.2656874359
4 20 -0.9168050289
4 30 -0.6798125505
4 40 0.0008044924
4 50 -0.0543344207
4 60 0.0955770239
4 70 -1.0041167736
4 80 0.5959215164
4 90 0.0320587419
4 100 0.1349082738
4 110 0.1585962772
4 120 0.3384320736
4 130 0.4547173083
4 140 -0.1078191474
4 150 0.0745115802
4 160 0.6465057731
4 170 0.4205467105
4 180 0.5670837164
4 190 0.4616589248
4 200 0.6175627708
5 10 -0.2695601285
5 20 -0.1443834752
5 30 -0.3500562906
5 40 0.2653966546
5 50 -1.6833428144
5 60 -0.2744852602
5 70 -0.1710093915
5 80 -0.6619710922
5 90 -0.0281490870
5 100 0.4709571898
5 110 0.3408859670
5 120 0.4007303715
5 130 0.5925003886
5 140 0.5138585567
5 150 0.0751722902
5 160 0.6240789890
5 170 0.4438345134
5 180 0.4879465401
5 190 0.7213664055
5 200 0.5199417472
