# Layers Neurons R2_Score
1 10 -5.1424708366
1 20 -3.5245394707
1 30 -3.9703991413
1 40 -4.8707923889
1 50 -3.6991097927
1 60 -2.5455346107
1 70 -3.1396832466
1 80 -1.4318093061
1 90 -1.6645426750
1 100 -2.0258080959
1 110 -1.9705821276
1 120 -2.1575713158
1 130 -2.5559608936
1 140 -1.4799376726
1 150 -1.6678140163
1 160 -1.7148847580
1 170 -2.0825610161
1 180 -1.2708631754
1 190 -1.1438413858
1 200 -1.4630089998
2 10 -0.5131781697
2 20 -1.4497032166
2 30 -0.8651107550
2 40 -1.2975882292
2 50 -0.8287605643
2 60 -1.3243156672
2 70 -1.4876847267
2 80 -2.0585708618
2 90 -1.2157781124
2 100 -1.2470395565
2 110 -0.8705278039
2 120 -1.1074347496
2 130 -1.0359091759
2 140 -1.3095831871
2 150 -0.5822605491
2 160 -1.7178651094
2 170 -0.5474148393
2 180 -1.8523494005
2 190 -0.8090270162
2 200 -1.1458210945
3 10 -0.2867015600
3 20 -0.4443114996
3 30 -1.1346193552
3 40 -0.4499539435
3 50 -0.5226436853
3 60 -1.3419315815
3 70 -0.7479581237
3 80 -0.4860080183
3 90 -0.6272158623
3 100 -0.7251690626
3 110 -0.6530060172
3 120 -1.5213325024
3 130 -1.4171918631
3 140 -1.8678050041
3 150 -0.5213435292
3 160 -1.3606364727
3 170 -0.3553833067
3 180 -0.8163728118
3 190 -0.6227723360
3 200 -0.9789490700
4 10 -0.3637390733
4 20 -0.0615436770
4 30 -1.1022238731
4 40 -1.0796346664
4 50 -1.0021287203
4 60 -0.8792326450
4 70 -0.4803838432
4 80 -0.6044781804
4 90 -0.5748522282
4 100 -0.6044818163
4 110 -1.1090424061
4 120 -1.4332425594
4 130 -1.1330208778
4 140 -1.3708630800
4 150 -0.3235069215
4 160 -0.9101975560
4 170 -1.6122597456
4 180 -1.4134495258
4 190 -2.4381184578
4 200 -1.3527609110
5 10 -0.1489945203
5 20 -0.1431288272
5 30 -0.1154569611
5 40 -0.7345490456
5 50 -0.1245615110
5 60 -0.7001851201
5 70 -0.5595445633
5 80 -3.3550112247
5 90 -0.5626067519
5 100 -1.7241498232
5 110 -0.3044077754
5 120 -0.8608773947
5 130 -2.8989715576
5 140 -0.5629797578
5 150 -2.6284863949
5 160 -1.3245899677
5 170 -0.5132876039
5 180 -0.6996449232
5 190 0.0007172994
5 200 -0.6353490353
