# Layers Neurons R2_Score
1 10 0.7449300289
1 20 0.7928938866
1 30 0.7357465625
1 40 0.6231011152
1 50 0.7421064973
1 60 0.7298991680
1 70 0.7926170230
1 80 0.7418407798
1 90 0.7898648381
1 100 0.5954064131
1 110 0.8301782012
1 120 0.6477353573
1 130 0.7260091901
1 140 0.8375078440
1 150 0.7777676582
1 160 0.7458568215
1 170 0.7843407989
1 180 0.7604628205
1 190 0.6751144528
1 200 0.5587076545
2 10 0.7790057659
2 20 0.7496663332
2 30 0.6277214885
2 40 0.7328405380
2 50 0.4995753765
2 60 0.7035754919
2 70 0.7348148227
2 80 0.3857116401
2 90 0.6124473810
2 100 0.7732467055
2 110 0.8097177148
2 120 0.4774484336
2 130 0.3217672110
2 140 0.6843263507
2 150 0.3730187416
2 160 0.6259855032
2 170 0.7589654326
2 180 0.7988508940
2 190 0.8530597091
2 200 0.8036333323
3 10 0.6158607006
3 20 0.8300951123
3 30 0.4618703425
3 40 0.7303568125
3 50 0.4922958910
3 60 0.5234264135
3 70 0.6750785708
3 80 0.6183902621
3 90 0.7707843184
3 100 0.6863309741
3 110 0.6348217726
3 120 0.7548144460
3 130 0.7326281667
3 140 0.7328414917
3 150 0.6943877339
3 160 0.7023847103
3 170 0.6994098425
3 180 0.7628430128
3 190 0.8130937815
3 200 0.7985984683
4 10 0.7044776082
4 20 0.7758308649
4 30 0.6553452611
4 40 0.7148759961
4 50 0.6164563894
4 60 0.5375354886
4 70 0.7317672968
4 80 0.6608301401
4 90 0.4206925929
4 100 0.7155262828
4 110 0.6587959528
4 120 0.5316723585
4 130 0.7876746058
4 140 0.7893133163
4 150 0.7509620190
4 160 0.7293913364
4 170 0.5992272496
4 180 0.7570859790
4 190 0.7557722926
4 200 0.7205039263
5 10 0.2171694636
5 20 0.7287448645
5 30 0.6142995954
5 40 0.6106718779
5 50 0.6015898585
5 60 0.4491246641
5 70 0.6638421416
5 80 0.5235800743
5 90 0.6561918259
5 100 0.5386107564
5 110 0.5612696409
5 120 0.5192780495
5 130 0.6822378039
5 140 0.4605011940
5 150 0.7583590746
5 160 0.6145637631
5 170 0.6199197173
5 180 0.8006232381
5 190 0.7712804079
5 200 0.7887094021
