# Layers Neurons R2_Score
1 10 -167.1298065186
1 20 -168.1231842041
1 30 -229.5602111816
1 40 -113.3272171021
1 50 -196.6207275391
1 60 -225.6229705811
1 70 -168.9922027588
1 80 -167.2642364502
1 90 -150.6869659424
1 100 -191.0976104736
1 110 -191.2416076660
1 120 -133.7310028076
1 130 -125.8103942871
1 140 -156.9694061279
1 150 -164.2646026611
1 160 -113.2035827637
1 170 -116.0199661255
1 180 -122.2419662476
1 190 -136.6061248779
1 200 -121.4012832642
2 10 -118.0303268433
2 20 -89.9651184082
2 30 -61.1808166504
2 40 -82.2811203003
2 50 -104.7003479004
2 60 -78.5330505371
2 70 -103.6138992310
2 80 -56.8916587830
2 90 -155.7292175293
2 100 -137.1135253906
2 110 -111.1529846191
2 120 -83.4009170532
2 130 -93.5796508789
2 140 -128.9635925293
2 150 -141.1907653809
2 160 -63.6219100952
2 170 -69.4268875122
2 180 -122.7608947754
2 190 -112.1399612427
2 200 -62.8784446716
3 10 -66.2683868408
3 20 -46.5254096985
3 30 -29.3208560944
3 40 -33.0413398743
3 50 -59.3958206177
3 60 -103.5747451782
3 70 -64.0374832153
3 80 -106.4050292969
3 90 -41.5988960266
3 100 -139.6716766357
3 110 -111.5982055664
3 120 -72.4255752563
3 130 -133.1531524658
3 140 -95.6325454712
3 150 -46.3053627014
3 160 -69.6012420654
3 170 -34.1399536133
3 180 -7.8839311600
3 190 -13.2521314621
3 200 -8.1035671234
4 10 -3.3609631062
4 20 -43.6766929626
4 30 -105.8968124390
4 40 -33.9458618164
4 50 -94.2477035522
4 60 -42.4425849915
4 70 -40.8956260681
4 80 -59.0536842346
4 90 -128.6646270752
4 100 -108.6905136108
4 110 -74.6509628296
4 120 -83.2269287109
4 130 -89.8184738159
4 140 -27.4632873535
4 150 -22.8176193237
4 160 -17.7914657593
4 170 -15.9620218277
4 180 -15.6568078995
4 190 -7.2947087288
4 200 -8.4643182755
5 10 -6.9442877769
5 20 -35.9838104248
5 30 -87.8196105957
5 40 -21.1542110443
5 50 -33.9532890320
5 60 -39.2777633667
5 70 -51.3386421204
5 80 -59.8450698853
5 90 -34.4513778687
5 100 -25.8437843323
5 110 -52.0889282227
5 120 -28.1769752502
5 130 -94.1028137207
5 140 -8.2848749161
5 150 -55.3534355164
5 160 -64.8918457031
5 170 -35.9633483887
5 180 -5.1107096672
5 190 -16.3862514496
5 200 -11.0111522675
