# Layers Neurons R2_Score
1 10 -195.6348266602
1 20 -184.5797882080
1 30 -190.2795410156
1 40 -324.9163818359
1 50 -359.7369995117
1 60 -212.2451477051
1 70 -270.8534240723
1 80 -235.2694244385
1 90 -153.4529876709
1 100 -188.6509399414
1 110 -170.4331359863
1 120 -221.6225280762
1 130 -238.8086242676
1 140 -163.9351348877
1 150 -152.9055633545
1 160 -126.5567550659
1 170 -136.4730682373
1 180 -152.6417388916
1 190 -156.9828491211
1 200 -126.2869415283
2 10 -18.4951267242
2 20 -68.8570404053
2 30 -94.1949310303
2 40 -87.1271972656
2 50 -63.7075004578
2 60 -100.1923751831
2 70 -69.9854354858
2 80 -61.3784599304
2 90 -55.5666198730
2 100 -100.0273513794
2 110 -60.1457786560
2 120 -87.3542175293
2 130 -64.1369705200
2 140 -70.5268554688
2 150 -68.9978561401
2 160 -72.7486801147
2 170 -54.7794380188
2 180 -55.9322090149
2 190 -47.7830009460
2 200 -66.0514907837
3 10 -36.5562515259
3 20 -40.4744949341
3 30 -27.3433284760
3 40 -28.8079891205
3 50 -33.3740386963
3 60 -32.4919471741
3 70 -45.8818969727
3 80 -28.8545036316
3 90 -20.3170433044
3 100 -19.8363151550
3 110 -25.7645816803
3 120 -37.0163345337
3 130 -32.2507133484
3 140 -29.8299274445
3 150 -96.3703536987
3 160 -48.5502510071
3 170 -36.7920532227
3 180 -51.6102371216
3 190 -39.4981193542
3 200 -130.4672088623
4 10 -9.5352582932
4 20 -16.6562690735
4 30 -15.3226890564
4 40 -15.4383897781
4 50 -9.3401231766
4 60 -20.6218490601
4 70 -40.0452117920
4 80 -23.2236289978
4 90 -46.4068679810
4 100 -63.1131973267
4 110 -134.3957672119
4 120 -33.0903701782
4 130 -67.7953109741
4 140 -31.1430530548
4 150 -68.5752258301
4 160 -46.7429771423
4 170 -51.3329467773
4 180 -75.0666275024
4 190 -123.2598876953
4 200 -54.3608589172
5 10 -9.0293884277
5 20 -7.5235266685
5 30 -15.9841556549
5 40 -10.2085723877
5 50 -29.2717628479
5 60 -15.0574254990
5 70 -8.8121795654
5 80 -51.7977027893
5 90 -56.1692619324
5 100 -152.8153839111
5 110 -33.6942024231
5 120 -28.4241313934
5 130 -35.5094184875
5 140 -79.5596923828
5 150 -22.4365634918
5 160 -37.2879371643
5 170 -45.0771446228
5 180 -50.4458656311
5 190 -47.2222747803
5 200 -52.3724365234
