# Layers Neurons R2_Score
1 10 -7.4282846451
1 20 -17.5627994537
1 30 -10.3696622849
1 40 -5.4453344345
1 50 -4.6927332878
1 60 -14.8070240021
1 70 -6.0274720192
1 80 -12.1113338470
1 90 -11.8133544922
1 100 -6.0382118225
1 110 -13.9912366867
1 120 -13.1745328903
1 130 -11.6589565277
1 140 -8.9860563278
1 150 -7.7542610168
1 160 -15.7652502060
1 170 -8.8760614395
1 180 -6.7435774803
1 190 -5.6672682762
1 200 -5.8655982018
2 10 -0.3468453288
2 20 -5.1429357529
2 30 -12.4889822006
2 40 -7.9858460426
2 50 -9.0039148331
2 60 -8.0218267441
2 70 -5.2276248932
2 80 -4.2488355637
2 90 -5.6913924217
2 100 -8.8987216949
2 110 -8.0816421509
2 120 -7.5565309525
2 130 -17.2475681305
2 140 -5.4461364746
2 150 -7.4100098610
2 160 -9.3716268539
2 170 -5.6799659729
2 180 -2.9392056465
2 190 -8.5516481400
2 200 -4.7476148605
3 10 -0.1552176923
3 20 -5.9274110794
3 30 -9.2694845200
3 40 -3.4230186939
3 50 -5.8889164925
3 60 -6.2049875259
3 70 -10.5272455215
3 80 -2.7558577061
3 90 -3.6637861729
3 100 -3.0651457310
3 110 -3.0004217625
3 120 -6.6960754395
3 130 -5.8959631920
3 140 -2.4213294983
3 150 -3.6701085567
3 160 -4.1030693054
3 170 -4.8574891090
3 180 -4.3780403137
3 190 -3.5312318802
3 200 -3.3975894451
4 10 -2.7919874191
4 20 -3.5490405560
4 30 -8.9667406082
4 40 -1.9276959896
4 50 -3.7657108307
4 60 -2.9988117218
4 70 -3.2464973927
4 80 -2.9826669693
4 90 -1.5257120132
4 100 -3.0958397388
4 110 -3.0425899029
4 120 -3.3212592602
4 130 -1.9791089296
4 140 -3.5426046848
4 150 -2.1791586876
4 160 -2.4185121059
4 170 -1.5472917557
4 180 -3.2370662689
4 190 -2.1300892830
4 200 -3.9178602695
5 10 -1.8931903839
5 20 -3.2539250851
5 30 -8.4843225479
5 40 -2.2016453743
5 50 -2.1844918728
5 60 -2.2005956173
5 70 -3.4020807743
5 80 -3.1482124329
5 90 -2.6332018375
5 100 -3.7170627117
5 110 -2.0659720898
5 120 -2.3973517418
5 130 -2.6337502003
5 140 -3.5832118988
5 150 -2.3948402405
5 160 -1.5417941809
5 170 -1.5592073202
5 180 -1.4933348894
5 190 -2.9466040134
5 200 -2.3651380539
