# Layers Neurons R2_Score
1 10 -126.8391876221
1 20 -299.3959960938
1 30 -451.4249572754
1 40 -380.9450378418
1 50 -191.7791900635
1 60 -216.0226135254
1 70 -278.0691223145
1 80 -316.3471679688
1 90 -237.1384735107
1 100 -312.3857421875
1 110 -226.6129302979
1 120 -233.8354949951
1 130 -215.7579803467
1 140 -214.9761047363
1 150 -160.7081756592
1 160 -192.3227386475
1 170 -157.5261230469
1 180 -152.0521240234
1 190 -148.3898468018
1 200 -164.9239044189
2 10 -51.9246292114
2 20 -141.3962860107
2 30 -90.0597000122
2 40 -98.6840438843
2 50 -96.8622436523
2 60 -63.1306343079
2 70 -71.0745849609
2 80 -47.6362991333
2 90 -118.3533325195
2 100 -86.2701339722
2 110 -91.5101013184
2 120 -78.0782012939
2 130 -68.8832931519
2 140 -40.2682685852
2 150 -53.3842773438
2 160 -63.7891464233
2 170 -56.0126419067
2 180 -35.6800537109
2 190 -54.0447502136
2 200 -39.1292343140
3 10 -1.4429874420
3 20 -25.4653568268
3 30 -37.1199417114
3 40 -41.0189476013
3 50 -32.5065650940
3 60 -24.8349094391
3 70 -31.7175579071
3 80 -43.6786918640
3 90 -48.0985603333
3 100 -29.0194702148
3 110 -18.4197692871
3 120 -27.9185047150
3 130 -27.6127948761
3 140 -20.8661422729
3 150 -27.8067321777
3 160 -35.4327735901
3 170 -29.6097621918
3 180 -23.6291751862
3 190 -30.0095081329
3 200 -17.3788356781
4 10 -5.1857919693
4 20 -7.4681892395
4 30 -11.0676946640
4 40 -10.8478736877
4 50 -11.9335680008
4 60 -30.2166786194
4 70 -8.5101070404
4 80 -9.1534910202
4 90 -5.7529263496
4 100 -4.8511137962
4 110 -17.5164890289
4 120 -18.4765319824
4 130 -12.0580663681
4 140 -14.1211328506
4 150 -14.4469861984
4 160 -11.8101148605
4 170 -14.7217369080
4 180 -25.7944717407
4 190 -38.4746627808
4 200 -16.2731838226
5 10 -4.9052925110
5 20 -3.1937413216
5 30 -14.7448158264
5 40 -6.4202160835
5 50 -8.9198541641
5 60 -8.1565237045
5 70 -4.7074422836
5 80 -7.5916233063
5 90 -5.4204196930
5 100 -11.1245031357
5 110 -10.0973329544
5 120 -7.0606551170
5 130 -24.0995883942
5 140 -22.3642845154
5 150 -8.0717096329
5 160 -16.2792015076
5 170 -35.7385215759
5 180 -11.6190118790
5 190 -33.1841087341
5 200 -12.9402427673
