# Layers Neurons R2_Score
1 10 -0.7401360273
1 20 -0.5164376497
1 30 -4.2100644112
1 40 -3.6791782379
1 50 -0.7687056065
1 60 -3.2940771580
1 70 -0.3147623241
1 80 -1.5264364481
1 90 -1.4886863232
1 100 -1.8416246176
1 110 -8.0915660858
1 120 -5.0531039238
1 130 -2.8829264641
1 140 -3.7211799622
1 150 -2.3151180744
1 160 -3.7488160133
1 170 -2.1876051426
1 180 -1.1893881559
1 190 -0.9358069301
1 200 -1.5495749712
2 10 -0.0072496142
2 20 -0.4139295220
2 30 -0.1971033663
2 40 -1.1771615744
2 50 -0.2085680813
2 60 -0.1389517635
2 70 -0.5855435729
2 80 -0.8479135036
2 90 -0.1027171537
2 100 -1.4217107296
2 110 -0.5322778225
2 120 -0.5711193681
2 130 -1.6325051785
2 140 -0.4064625204
2 150 -0.5256788135
2 160 -0.4314875901
2 170 -0.6330186725
2 180 -0.5823403001
2 190 -0.0816241130
2 200 -2.2051711082
3 10 0.0082838601
3 20 -0.0342981629
3 30 -0.4639261961
3 40 0.2292885631
3 50 0.1985062510
3 60 -1.0871336460
3 70 -0.1011868045
3 80 -0.1476822644
3 90 0.1318254471
3 100 -0.0998700857
3 110 -0.0326584689
3 120 -0.2903016806
3 130 -0.4116542339
3 140 -0.4587156475
3 150 -0.8138554096
3 160 -1.9719399214
3 170 -0.4682695568
3 180 -1.6849576235
3 190 -0.8096827865
3 200 -0.5024053454
4 10 0.3081406057
4 20 -0.1767591685
4 30 -0.6424404383
4 40 -0.2653207481
4 50 -0.2292691916
4 60 -0.0343540721
4 70 -0.3244409859
4 80 -0.2607988417
4 90 -0.3460020721
4 100 0.1949098557
4 110 -0.3686732054
4 120 0.0930583924
4 130 0.0393123627
4 140 -0.5059152246
4 150 -0.4603513479
4 160 0.0461700968
4 170 -4.6736922264
4 180 -0.9376785159
4 190 -0.1399160177
4 200 -1.3731383085
5 10 -2.3887870312
5 20 -0.4363373220
5 30 -0.4127748311
5 40 0.1997564584
5 50 -0.8303068876
5 60 -0.3911836445
5 70 -0.8102403283
5 80 -0.1697803438
5 90 -0.7693641782
5 100 0.0002315249
5 110 -1.2829954624
5 120 -0.1515509486
5 130 0.0922898725
5 140 -0.4530017972
5 150 -0.6445958614
5 160 -0.6689443588
5 170 -0.7748857141
5 180 -0.9223689437
5 190 -1.0025242567
5 200 -0.2329637855
