# Layers Neurons R2_Score
1 10 -93.1628189087
1 20 -324.1691894531
1 30 -175.1764221191
1 40 -172.4239196777
1 50 -98.9333801270
1 60 -136.6654052734
1 70 -131.4948883057
1 80 -101.4025955200
1 90 -141.5669555664
1 100 -114.5086669922
1 110 -100.2691955566
1 120 -99.9248886108
1 130 -62.5745468140
1 140 -66.4574813843
1 150 -56.1221237183
1 160 -66.6395950317
1 170 -55.3497390747
1 180 -51.4265365601
1 190 -82.7797470093
1 200 -52.4611816406
2 10 -9.8086709976
2 20 -72.4059982300
2 30 -66.8750686646
2 40 -57.2355346680
2 50 -29.1136569977
2 60 -102.9637451172
2 70 -17.5790977478
2 80 -71.9557418823
2 90 -90.9136734009
2 100 -27.1561241150
2 110 -18.3170814514
2 120 -16.2760772705
2 130 -15.1180906296
2 140 -11.4681816101
2 150 -18.8302707672
2 160 -14.7058963776
2 170 -11.3049488068
2 180 -9.0342664719
2 190 -9.0541038513
2 200 -11.3559980392
3 10 -29.8642063141
3 20 -56.9286422729
3 30 -25.5249443054
3 40 -38.1639709473
3 50 -90.5844345093
3 60 -9.1914319992
3 70 -24.7575054169
3 80 -9.2644710541
3 90 -7.6690959930
3 100 -7.6711444855
3 110 -6.0401787758
3 120 -6.9999637604
3 130 -8.6954421997
3 140 -11.6145906448
3 150 -6.6855731010
3 160 -7.8955488205
3 170 -9.0990657806
3 180 -7.6500916481
3 190 -7.5807843208
3 200 -10.8122959137
4 10 -21.9948978424
4 20 -16.2749996185
4 30 -49.0074386597
4 40 -5.8134636879
4 50 -50.6983261108
4 60 -63.5580368042
4 70 -4.9072446823
4 80 -4.1339111328
4 90 -4.7485785484
4 100 -5.7456135750
4 110 -10.6723127365
4 120 -4.9889636040
4 130 -4.7999448776
4 140 -7.5449037552
4 150 -9.7606201172
4 160 -8.1494903564
4 170 -7.3684167862
4 180 -8.2305421829
4 190 -7.6004638672
4 200 -10.1264104843
5 10 -64.0953521729
5 20 -8.6917104721
5 30 -30.8959121704
5 40 -18.4018230438
5 50 -3.8047995567
5 60 -8.4703197479
5 70 -5.5693688393
5 80 -7.1294736862
5 90 -5.4334502220
5 100 -9.9250106812
5 110 -4.1777606010
5 120 -6.0020422935
5 130 -6.7826709747
5 140 -7.8722314835
5 150 -9.0307874680
5 160 -8.9924707413
5 170 -11.4438791275
5 180 -10.1321535110
5 190 -12.9091854095
5 200 -6.2028336525
