# Layers Neurons R2_Score
1 10 -1.3808436394
1 20 -0.8017317057
1 30 -5.5339512825
1 40 -8.8389139175
1 50 -2.0152637959
1 60 -3.8580222130
1 70 -3.8762795925
1 80 -4.6471967697
1 90 -8.5709676743
1 100 -7.9870133400
1 110 -2.7149646282
1 120 -6.0487513542
1 130 -5.6222600937
1 140 -6.1575980186
1 150 -1.2299660444
1 160 -9.1634235382
1 170 -3.0744631290
1 180 -7.1837673187
1 190 -6.4283218384
1 200 -4.9190320969
2 10 -1.6521829367
2 20 -0.4142375886
2 30 -2.4677891731
2 40 -0.8787168860
2 50 -3.4046921730
2 60 -3.1498050690
2 70 -3.7428040504
2 80 -2.5693454742
2 90 -2.7258048058
2 100 -2.8585491180
2 110 -4.8532395363
2 120 -2.2371213436
2 130 -3.9722559452
2 140 -2.6987221241
2 150 -3.1023712158
2 160 -1.3603371382
2 170 -1.8361821175
2 180 -1.6326774359
2 190 -2.5632014275
2 200 -1.3861094713
3 10 0.1127911285
3 20 -1.0816725492
3 30 -0.5056100488
3 40 -0.3767891526
3 50 -2.8405201435
3 60 -0.8506330848
3 70 -0.6912162900
3 80 -2.1456212997
3 90 -3.0067255497
3 100 -0.3426666856
3 110 -2.3927145004
3 120 -0.8465009332
3 130 -0.9758790135
3 140 -0.7073988914
3 150 -3.4930546284
3 160 -1.1283613443
3 170 -0.8490145802
3 180 -1.1834717989
3 190 -3.2539520264
3 200 -1.3906954527
4 10 -0.1548483223
4 20 -0.8787765503
4 30 -0.4175467789
4 40 -2.0489101410
4 50 -1.2138118744
4 60 -1.2860680819
4 70 -0.8674544096
4 80 -1.6088858843
4 90 -2.3471927643
4 100 -1.6719774008
4 110 -1.2788306475
4 120 -0.6420179009
4 130 -0.8993411064
4 140 -1.4188172817
4 150 -1.4949623346
4 160 -0.9279298782
4 170 -0.6559072137
4 180 -1.2465198040
4 190 -0.8415244222
4 200 -0.8854936361
5 10 -3.0055251122
5 20 -2.1756722927
5 30 0.0544982627
5 40 -1.1147981882
5 50 -0.7252072096
5 60 -0.5617507100
5 70 -1.3370198011
5 80 -1.3716738224
5 90 -1.5160880089
5 100 -0.8086862564
5 110 -1.0195306540
5 120 -0.8614603877
5 130 -1.3219931126
5 140 -1.2102966309
5 150 -1.6268295050
5 160 -1.2381004095
5 170 -1.0066113472
5 180 -1.0123894215
5 190 -0.8086485863
5 200 -1.4096738100
