# Layers Neurons R2_Score
1 10 -78.7782974243
1 20 -75.5671081543
1 30 -78.4405212402
1 40 -23.5968589783
1 50 -31.5848045349
1 60 -34.9376907349
1 70 -42.2428741455
1 80 -31.2753620148
1 90 -18.2923984528
1 100 -24.0817127228
1 110 -19.8848972321
1 120 -18.0383892059
1 130 -12.9186840057
1 140 -16.5752925873
1 150 -12.0978536606
1 160 -12.4208211899
1 170 -12.4680624008
1 180 -16.3862571716
1 190 -16.2351589203
1 200 -14.0111141205
2 10 -30.1499938965
2 20 -28.3871078491
2 30 -8.3773307800
2 40 -39.9888153076
2 50 -13.5793237686
2 60 -11.2125787735
2 70 -13.2453508377
2 80 -10.3642339706
2 90 -9.2382030487
2 100 -9.7927484512
2 110 -16.2302322388
2 120 -8.8283090591
2 130 -10.2309360504
2 140 -7.2573919296
2 150 -13.8244876862
2 160 -8.0025329590
2 170 -11.7275037766
2 180 -10.2056932449
2 190 -9.9820613861
2 200 -10.2122955322
3 10 -5.0566449165
3 20 -6.1964087486
3 30 -9.9588928223
3 40 -9.1365022659
3 50 -5.6817064285
3 60 -8.1730499268
3 70 -7.5624766350
3 80 -9.7582845688
3 90 -5.5937590599
3 100 -5.0933609009
3 110 -12.0054359436
3 120 -9.4959506989
3 130 -5.8791480064
3 140 -7.8480033875
3 150 -7.0456967354
3 160 -9.2837066650
3 170 -4.6227283478
3 180 -4.4018874168
3 190 -5.4283342361
3 200 -6.9081997871
4 10 -4.7567625046
4 20 -22.1924514771
4 30 -3.4447262287
4 40 -6.2604188919
4 50 -3.6935615540
4 60 -9.2944107056
4 70 -7.9462499619
4 80 -6.2139911652
4 90 -7.5145220757
4 100 -8.8359241486
4 110 -8.5009174347
4 120 -9.2736501694
4 130 -7.7045402527
4 140 -3.3719956875
4 150 -4.6947755814
4 160 -4.4316816330
4 170 -4.8990149498
4 180 -2.6979146004
4 190 -4.8442955017
4 200 -4.0379590988
5 10 -19.2326221466
5 20 -22.6206436157
5 30 -3.2743213177
5 40 -2.3790268898
5 50 -6.0727419853
5 60 -10.2914600372
5 70 -5.7169346809
5 80 -7.3769350052
5 90 -6.9626483917
5 100 -17.6943531036
5 110 -5.2630791664
5 120 -4.5161361694
5 130 -5.2641277313
5 140 -4.5701699257
5 150 -3.8956625462
5 160 -3.6094596386
5 170 -3.5521557331
5 180 -4.7157320976
5 190 -2.8877873421
5 200 -3.4251227379
