Tau2_Model_Upper20 3 10 -1.4429874420
Tau2_Model_Upper40 5 20 -7.5235266685
Tau2_Model_Upper80 4 10 -3.3609631062
Tau2_Model_Upper160 5 50 -3.8047995567
Tau2_Model_Upper320 5 40 -2.3790268898
Tau2_Model_Upper640 3 10 -0.1552176923
Tau2_Model_Upper1280 3 10 0.1127911285
Tau2_Model_Upper2560 4 10 0.3081406057
