# Layers Neurons R2_Score
1 10 -2172.7512207031
1 20 -179.0426940918
1 30 -315.2964782715
1 40 -18.4031848907
1 50 -20.8369941711
1 60 -2.8372459412
1 70 -1.6828083992
1 80 -2.5620765686
1 90 -2.3013949394
1 100 -3.1670813560
1 110 -2.5208618641
1 120 -3.9915735722
1 130 -2.8667390347
1 140 -3.0889618397
1 150 -1.1198016405
1 160 -1.3609572649
1 170 -1.8472577333
1 180 -2.4035904408
1 190 -2.6155076027
1 200 -2.9804790020
2 10 -164.4448852539
2 20 -2.0089216232
2 30 -1.3449702263
2 40 -4.0986928940
2 50 -3.4110224247
2 60 -2.6772327423
2 70 -3.7714364529
2 80 -2.8686730862
2 90 -2.7767045498
2 100 -3.2483501434
2 110 -5.9081411362
2 120 -3.2542982101
2 130 -3.4067850113
2 140 -1.9040871859
2 150 -3.4467377663
2 160 -1.9931241274
2 170 -3.8044760227
2 180 -2.6792454720
2 190 -4.3207416534
2 200 -2.2084560394
3 10 -156.7614746094
3 20 -13.1451377869
3 30 -2.7880423069
3 40 -2.3029165268
3 50 -1.8204398155
3 60 -0.7095528245
3 70 -1.9076254368
3 80 -1.6016055346
3 90 -2.9153511524
3 100 -2.4047040939
3 110 -3.4352869987
3 120 -1.9628646374
3 130 -1.6080938578
3 140 -3.3959360123
3 150 -4.5239357948
3 160 -2.3667817116
3 170 -4.8622355461
3 180 -3.4645082951
3 190 -0.8976119161
3 200 -2.4710466862
4 10 -14.8725023270
4 20 -37.1172904968
4 30 -4.1097779274
4 40 -4.4245066643
4 50 -1.0735527277
4 60 -2.1760339737
4 70 -1.9488701820
4 80 -2.2872741222
4 90 -4.6672234535
4 100 -3.2603447437
4 110 -2.8711485863
4 120 -6.7552947998
4 130 -1.6238656044
4 140 -1.0152751207
4 150 -3.4669487476
4 160 -2.7977690697
4 170 -3.0668206215
4 180 -5.4379086494
4 190 -5.0249085426
4 200 -5.7055740356
5 10 -11.2287530899
5 20 -2.0086081028
5 30 -2.4020977020
5 40 -5.6077823639
5 50 -2.1282923222
5 60 -2.3784384727
5 70 -4.8590774536
5 80 -1.4646035433
5 90 -1.8165805340
5 100 -2.9918529987
5 110 -3.6902749538
5 120 -2.8921000957
5 130 -3.2394506931
5 140 -6.4267740250
5 150 -4.8313508034
5 160 -2.2037394047
5 170 -4.5570197105
5 180 -4.0938005447
5 190 -2.6271364689
5 200 -4.5881423950
