# Layers Neurons R2_Score
1 10 -3.2135984898
1 20 -0.8767929077
1 30 -1.0087656975
1 40 -0.2117080688
1 50 0.5472077131
1 60 0.2688411176
1 70 0.0895236135
1 80 0.2025306523
1 90 0.6322176456
1 100 0.6118258834
1 110 0.6951483488
1 120 0.6114096642
1 130 0.7287808061
1 140 -0.0365806036
1 150 0.6727596521
1 160 0.6864644885
1 170 0.5523585677
1 180 0.7566433549
1 190 0.7997018099
1 200 0.8054232001
2 10 -2.3210077286
2 20 -2.1785690784
2 30 -2.1043696404
2 40 -0.3086643517
2 50 -1.2615772486
2 60 -0.4458828568
2 70 -0.2982684970
2 80 -1.4064662457
2 90 -0.4234592319
2 100 0.5023667216
2 110 -2.0091755390
2 120 0.1429443657
2 130 -0.0879222900
2 140 0.4469408393
2 150 0.7373100519
2 160 -0.3942495286
2 170 -0.1861327589
2 180 0.3054894507
2 190 0.6140972972
2 200 -1.7721939087
3 10 -3.2654886246
3 20 -3.0582158566
3 30 -0.8721125126
3 40 -2.1193017960
3 50 -3.3861131668
3 60 -0.2912971079
3 70 -0.8245897293
3 80 -0.4432461262
3 90 -0.0471838005
3 100 -2.5218086243
3 110 -2.9781742096
3 120 -7.0854816437
3 130 -1.4787364006
3 140 -0.1955482960
3 150 -2.9289963245
3 160 0.1937655807
3 170 -4.7732558250
3 180 -0.0741493255
3 190 0.2407712638
3 200 0.5739540458
4 10 -3.2615909576
4 20 -1.6950007677
4 30 -0.4298790395
4 40 -2.8660798073
4 50 -3.5850520134
4 60 -0.5576930642
4 70 -0.2959152460
4 80 -2.9260623455
4 90 -0.6022240520
4 100 -0.2972990870
4 110 -2.0631818771
4 120 -1.0005960464
4 130 -0.2266311646
4 140 0.2685190439
4 150 0.0395072401
4 160 -0.6046655178
4 170 -0.8724825978
4 180 -0.6046305895
4 190 -0.8433377743
4 200 -1.4614700079
5 10 -3.0311965942
5 20 -1.2432143688
5 30 -3.0459752083
5 40 -2.4335856438
5 50 -2.7371425629
5 60 -2.8327605724
5 70 -2.0844995975
5 80 -0.6871492863
5 90 -0.5669000149
5 100 -0.9032875896
5 110 -0.9297253489
5 120 -9.1052970886
5 130 -6.7740688324
5 140 -5.8790779114
5 150 -1.1187086105
5 160 0.0650141835
5 170 -0.6306673884
5 180 -7.0332360268
5 190 -71.8806762695
5 200 -0.4688684642
