# Layers Neurons R2_Score
1 10 -2.9150688648
1 20 -3.3744266033
1 30 -7.4552540779
1 40 -4.3221640587
1 50 -6.3033633232
1 60 -4.3022079468
1 70 -5.1564679146
1 80 -3.2307407856
1 90 -5.0117263794
1 100 -6.2696738243
1 110 -4.2727875710
1 120 -4.3790745735
1 130 -3.8087027073
1 140 -5.2996239662
1 150 -5.3974452019
1 160 -4.3354010582
1 170 -4.9737167358
1 180 -4.4544291496
1 190 -4.5398335457
1 200 -3.3293974400
2 10 -1.8740426302
2 20 -2.2839043140
2 30 -4.2649979591
2 40 -3.3800365925
2 50 -5.4403104782
2 60 -2.8279228210
2 70 -4.4183397293
2 80 -6.2342958450
2 90 -5.4119534492
2 100 -3.6857726574
2 110 -3.8833107948
2 120 -4.2308712006
2 130 -1.0823744535
2 140 -4.3232030869
2 150 -4.4240670204
2 160 -6.6829533577
2 170 -4.7804594040
2 180 -3.1926686764
2 190 -8.0434789658
2 200 -5.9687542915
3 10 -4.0384049416
3 20 -8.9642038345
3 30 -6.3512139320
3 40 -7.6022224426
3 50 -5.2350029945
3 60 -4.7443928719
3 70 -3.7918360233
3 80 -6.9263901711
3 90 -3.2514152527
3 100 -5.1272792816
3 110 -10.9540929794
3 120 -4.3850884438
3 130 -5.8967795372
3 140 -8.7730436325
3 150 -4.1530747414
3 160 -6.2836799622
3 170 -6.5178594589
3 180 -4.0225219727
3 190 -13.3589067459
3 200 -5.5943579674
4 10 -2.0522904396
4 20 -2.3374052048
4 30 -6.3779573441
4 40 -9.8249444962
4 50 -4.5244994164
4 60 -9.8060369492
4 70 -3.2553927898
4 80 -4.2853779793
4 90 -5.1287231445
4 100 -2.1005179882
4 110 -4.2099356651
4 120 -11.5301456451
4 130 -8.5803833008
4 140 -5.6877970695
4 150 -4.7508077621
4 160 -7.8448572159
4 170 -3.8855168819
4 180 -8.7580804825
4 190 -4.8769917488
4 200 -3.3655686378
5 10 -5.8643355370
5 20 -6.0449433327
5 30 -2.2377297878
5 40 -6.9691982269
5 50 -5.2855310440
5 60 -9.1799116135
5 70 -5.8646345139
5 80 -7.6518659592
5 90 -8.3572483063
5 100 -2.4364979267
5 110 -3.9886047840
5 120 -6.5259943008
5 130 -9.6819381714
5 140 -8.3122434616
5 150 -1.4390145540
5 160 -4.0864048004
5 170 -5.2630572319
5 180 -51.1813964844
5 190 -3.6864619255
5 200 -6.4149622917
