# Layers Neurons R2_Score
1 10 -38.0331001282
1 20 -3.2046160698
1 30 -2.3299074173
1 40 -4.7982983589
1 50 -4.9776668549
1 60 -2.2391848564
1 70 -2.1624283791
1 80 -5.5244183540
1 90 -3.5401225090
1 100 -2.6525080204
1 110 -4.2909841537
1 120 -4.4958143234
1 130 -4.6257209778
1 140 -2.9758677483
1 150 -3.5752513409
1 160 -4.8566575050
1 170 -3.0799205303
1 180 -3.0761632919
1 190 -3.3293170929
1 200 -3.9469487667
2 10 -10.9055500031
2 20 -1.2620512247
2 30 -4.2230048180
2 40 -6.9601669312
2 50 -2.5893096924
2 60 -1.4903868437
2 70 -4.3466281891
2 80 -5.4175229073
2 90 -4.0899715424
2 100 -4.9528884888
2 110 -3.0342612267
2 120 -2.7612242699
2 130 -5.1048030853
2 140 -3.7256906033
2 150 -4.7920169830
2 160 -3.4803471565
2 170 -4.7911658287
2 180 -6.4015417099
2 190 -3.8818900585
2 200 -2.1484556198
3 10 -4.9508857727
3 20 -2.0369946957
3 30 -2.2831850052
3 40 -4.7495903969
3 50 -4.9199209213
3 60 -5.0802636147
3 70 -3.3485698700
3 80 -7.1490178108
3 90 -1.6807621717
3 100 -6.2192406654
3 110 -5.6548962593
3 120 -5.0565958023
3 130 -7.8299937248
3 140 -5.6259951591
3 150 -4.8011803627
3 160 -8.0198497772
3 170 -13.1668605804
3 180 -3.3722043037
3 190 -4.1175317764
3 200 -3.5636582375
4 10 -2.4157130718
4 20 -3.1460351944
4 30 -5.3378391266
4 40 -8.5616207123
4 50 -1.3661328554
4 60 -1.7013723850
4 70 -3.6200523376
4 80 -1.5317548513
4 90 -3.5907912254
4 100 -3.5775756836
4 110 -4.7786211967
4 120 -6.0988979340
4 130 -3.2529761791
4 140 -10.8484840393
4 150 -5.8421492577
4 160 -3.5607395172
4 170 -3.5348041058
4 180 -5.1099419594
4 190 -9.2350769043
4 200 -4.7268199921
5 10 -3.6009826660
5 20 -6.2639408112
5 30 -5.5707092285
5 40 -3.6904306412
5 50 -1.9369609356
5 60 -5.9326171875
5 70 -6.7655444145
5 80 -2.4079341888
5 90 -6.6797809601
5 100 -6.8226494789
5 110 -2.7349848747
5 120 -6.3324861526
5 130 -8.0634851456
5 140 -7.5670733452
5 150 -5.4435982704
5 160 -5.8356199265
5 170 -3.5457270145
5 180 -2.2184598446
5 190 -5.7615919113
5 200 -3.1411626339
