# Layers Neurons R2_Score
1 10 -6.0439896584
1 20 -1.5586986542
1 30 -8.2645463943
1 40 -2.6865355968
1 50 -2.1016337872
1 60 -2.1377904415
1 70 -2.4772610664
1 80 -1.6916959286
1 90 -2.8141286373
1 100 -2.2853865623
1 110 -2.4412086010
1 120 -1.7640346289
1 130 -2.3814682961
1 140 -2.1520910263
1 150 -2.0149295330
1 160 -2.6062088013
1 170 -1.8808482885
1 180 -2.3519325256
1 190 -2.8504903316
1 200 -2.7808966637
2 10 -3.2766809464
2 20 -2.9921426773
2 30 -1.8913997412
2 40 -1.6470185518
2 50 -3.5920927525
2 60 -3.0502588749
2 70 -2.7512922287
2 80 -3.1047978401
2 90 -3.0293054581
2 100 -1.9387274981
2 110 -1.9129078388
2 120 -4.4891948700
2 130 -2.3775949478
2 140 -6.8979058266
2 150 -1.9422367811
2 160 -2.5108234882
2 170 -2.2041916847
2 180 -3.0008153915
2 190 -2.4071047306
2 200 -4.8283677101
3 10 -7.4103369713
3 20 -3.7764339447
3 30 -2.2423727512
3 40 -10.5249519348
3 50 -3.7147617340
3 60 -1.7766687870
3 70 -3.0121304989
3 80 -2.5268752575
3 90 -2.7001304626
3 100 -6.6762762070
3 110 -3.3298671246
3 120 -2.3188412189
3 130 -2.4295394421
3 140 -4.3415451050
3 150 -4.0850405693
3 160 -6.5957622528
3 170 -3.6277279854
3 180 -7.2935485840
3 190 -4.7270879745
3 200 -3.8645770550
4 10 -2.5133383274
4 20 -6.7309398651
4 30 -2.2409298420
4 40 -1.7525157928
4 50 -3.2305836678
4 60 -2.3035275936
4 70 -2.4387257099
4 80 -4.6889619827
4 90 -6.3622145653
4 100 -3.0711562634
4 110 -4.7106857300
4 120 -4.8682370186
4 130 -3.6198077202
4 140 -3.0262749195
4 150 -3.0396423340
4 160 -6.2588324547
4 170 -3.3920741081
4 180 -4.7595610619
4 190 -4.0323414803
4 200 -9.1683444977
5 10 -3.8079545498
5 20 -1.7300678492
5 30 -4.0747299194
5 40 -2.4307441711
5 50 -1.5810812712
5 60 -7.5818786621
5 70 -3.4067010880
5 80 -2.4343903065
5 90 -2.6294035912
5 100 -3.4691808224
5 110 -5.0773882866
5 120 -10.4189205170
5 130 -4.5621380806
5 140 -5.8881311417
5 150 -6.0130248070
5 160 -17.6526927948
5 170 -4.2274651527
5 180 -11.0703582764
5 190 -6.3513159752
5 200 -8.4284420013
