# Layers Neurons R2_Score
1 10 -3.5659399033
1 20 -3.7040278912
1 30 -4.5015158653
1 40 -3.0019469261
1 50 -4.7476058006
1 60 -2.3419370651
1 70 -3.3214251995
1 80 -4.6765942574
1 90 -3.7963192463
1 100 -2.7821455002
1 110 -3.0202434063
1 120 -4.0608544350
1 130 -4.5190529823
1 140 -3.0092301369
1 150 -5.0213708878
1 160 -3.2511348724
1 170 -3.1556169987
1 180 -3.7174277306
1 190 -2.8918766975
1 200 -3.6838178635
2 10 -3.7970466614
2 20 -3.5996789932
2 30 -5.4870319366
2 40 -4.5437736511
2 50 -5.8586030006
2 60 -2.0561535358
2 70 -3.5641925335
2 80 -3.5355064869
2 90 -4.2920241356
2 100 -2.5001351833
2 110 -3.4732828140
2 120 -2.5896980762
2 130 -6.6423635483
2 140 -7.0493478775
2 150 -4.5012407303
2 160 -10.3844995499
2 170 -4.1479549408
2 180 -1.7707450390
2 190 -4.5283179283
2 200 -5.0312476158
3 10 -5.1360034943
3 20 -3.3596904278
3 30 -5.4178161621
3 40 -1.7717697620
3 50 -4.2716884613
3 60 -3.5096943378
3 70 -4.3352193832
3 80 -4.1060070992
3 90 -4.0426092148
3 100 -3.0325806141
3 110 -3.6221029758
3 120 -3.1696691513
3 130 -3.4163820744
3 140 -2.5390877724
3 150 -2.9017524719
3 160 -4.5348706245
3 170 -4.2588715553
3 180 -1.9616686106
3 190 -4.4659414291
3 200 -2.6755223274
4 10 -0.7779189944
4 20 -7.5586242676
4 30 -21.6330280304
4 40 -5.5544815063
4 50 -1.3233751059
4 60 -1.4114010334
4 70 -3.0826990604
4 80 -4.5159435272
4 90 -1.6382683516
4 100 -1.7768626213
4 110 -5.1078248024
4 120 -2.8288025856
4 130 -4.0772223473
4 140 -4.3085007668
4 150 -6.7680435181
4 160 -2.4827013016
4 170 -2.6636636257
4 180 -3.2008602619
4 190 -3.0012619495
4 200 -2.2599086761
5 10 -4.8462224007
5 20 -6.2357296944
5 30 -2.5258154869
5 40 -4.1050877571
5 50 -10.2466955185
5 60 -3.1182243824
5 70 -2.9974277020
5 80 -1.6393890381
5 90 -0.8574902415
5 100 -9.1494636536
5 110 -2.5995039940
5 120 -3.1679639816
5 130 -8.8730478287
5 140 -6.3330054283
5 150 -4.0801720619
5 160 -7.0619120598
5 170 -4.4871697426
5 180 -4.1530590057
5 190 -6.8634347916
5 200 -4.1175909042
