# Layers Neurons R2_Score
1 10 -8141.3696289062
1 20 -1718.0306396484
1 30 -100.7593154907
1 40 -18.2262248993
1 50 -23.1601104736
1 60 -17.5835018158
1 70 -15.3505077362
1 80 -19.8346195221
1 90 -16.0402412415
1 100 -10.5576486588
1 110 -14.2442302704
1 120 -14.5626516342
1 130 -14.2873945236
1 140 -13.9657840729
1 150 -15.0898475647
1 160 -11.6205263138
1 170 -14.9814624786
1 180 -13.5040330887
1 190 -13.6855669022
1 200 -14.1892719269
2 10 -716.6514282227
2 20 -37.3313827515
2 30 -9.2643690109
2 40 -11.7842092514
2 50 -9.7974777222
2 60 -19.0811939240
2 70 -11.7116203308
2 80 -11.8191986084
2 90 -12.2161598206
2 100 -11.2911119461
2 110 -12.6034069061
2 120 -11.4301290512
2 130 -13.0806350708
2 140 -13.4877300262
2 150 -14.5649776459
2 160 -11.1521911621
2 170 -11.2819538116
2 180 -16.8455657959
2 190 -12.5783653259
2 200 -14.4008531570
3 10 -449.5471191406
3 20 -31.4989681244
3 30 -12.8338556290
3 40 -8.6166687012
3 50 -8.8515348434
3 60 -13.8918914795
3 70 -10.7991790771
3 80 -9.6410417557
3 90 -12.0084123611
3 100 -6.6778464317
3 110 -13.6188802719
3 120 -13.4363336563
3 130 -8.2733573914
3 140 -13.2127265930
3 150 -10.5529432297
3 160 -17.3529720306
3 170 -10.6145095825
3 180 -13.7465858459
3 190 -11.1437711716
3 200 -13.3251991272
4 10 -18.7501125336
4 20 -13.9617929459
4 30 -9.8912677765
4 40 -14.6738138199
4 50 -8.9917469025
4 60 -10.1631755829
4 70 -11.6385574341
4 80 -8.1582431793
4 90 -10.6369228363
4 100 -13.2567396164
4 110 -10.5431652069
4 120 -9.2643451691
4 130 -13.4455327988
4 140 -16.6283473969
4 150 -8.8531684875
4 160 -11.1390790939
4 170 -8.4956407547
4 180 -11.5478010178
4 190 -12.4644823074
4 200 -12.3729963303
5 10 -5.6777734756
5 20 -4.4280390739
5 30 -8.6985626221
5 40 -5.8944873810
5 50 -8.4498062134
5 60 -7.7025957108
5 70 -10.8214855194
5 80 -10.9564113617
5 90 -8.5981874466
5 100 -13.7447624207
5 110 -9.6250648499
5 120 -7.3885507584
5 130 -11.6326246262
5 140 -11.3251647949
5 150 -9.9328269958
5 160 -12.1238689423
5 170 -13.9997291565
5 180 -11.1839933395
5 190 -13.6443834305
5 200 -19.5798416138
