# Layers Neurons R2_Score
1 10 -9539.1289062500
1 20 -11.3384923935
1 30 -12.5968141556
1 40 -13.2120141983
1 50 -15.4530429840
1 60 -9.8039941788
1 70 -14.5247974396
1 80 -14.3197546005
1 90 -17.0427017212
1 100 -13.6086063385
1 110 -13.4920806885
1 120 -13.9456920624
1 130 -13.3757791519
1 140 -12.9939899445
1 150 -13.4341917038
1 160 -11.8197450638
1 170 -14.0872240067
1 180 -16.2671279907
1 190 -14.8394565582
1 200 -13.9192399979
2 10 -9.5363187790
2 20 -14.9220457077
2 30 -12.3539714813
2 40 -9.3391780853
2 50 -11.0081243515
2 60 -13.6403989792
2 70 -14.3955183029
2 80 -10.2045297623
2 90 -12.9979171753
2 100 -12.1506490707
2 110 -16.8332176208
2 120 -16.4393711090
2 130 -13.7316398621
2 140 -15.4387254715
2 150 -10.8588705063
2 160 -18.9841175079
2 170 -14.2137479782
2 180 -13.7174444199
2 190 -15.1910066605
2 200 -12.6438217163
3 10 -18.8747482300
3 20 -9.4806346893
3 30 -7.5524673462
3 40 -17.1238689423
3 50 -8.9668264389
3 60 -11.4295358658
3 70 -11.2155113220
3 80 -12.9330997467
3 90 -12.2079925537
3 100 -13.2895460129
3 110 -12.6536722183
3 120 -12.6882085800
3 130 -14.4202098846
3 140 -10.9490547180
3 150 -14.0252037048
3 160 -9.7457122803
3 170 -14.9498920441
3 180 -12.6268177032
3 190 -13.2559537888
3 200 -14.2734832764
4 10 -4.3764891624
4 20 -13.0709075928
4 30 -10.9744758606
4 40 -13.2775745392
4 50 -8.1404590607
4 60 -15.9687242508
4 70 -12.4254350662
4 80 -14.7074499130
4 90 -16.1817054749
4 100 -14.0527009964
4 110 -14.6929111481
4 120 -12.1641664505
4 130 -11.4956836700
4 140 -11.5975894928
4 150 -11.6667432785
4 160 -17.8515529633
4 170 -12.5965585709
4 180 -11.8094863892
4 190 -16.1427230835
4 200 -10.9251995087
5 10 -1.3197245598
5 20 -6.7609534264
5 30 -9.7153768539
5 40 -7.4306764603
5 50 -13.0701732635
5 60 -7.6669511795
5 70 -9.2824602127
5 80 -12.4866209030
5 90 -7.9533953667
5 100 -8.8307037354
5 110 -12.1022758484
5 120 -11.4127950668
5 130 -13.0509290695
5 140 -12.7373495102
5 150 -12.8057422638
5 160 -17.4776687622
5 170 -10.4317960739
5 180 -13.5628471375
5 190 -13.1606378555
5 200 -12.2993974686
