# Layers Neurons R2_Score
1 10 -9.8931922913
1 20 -9.3097543716
1 30 -8.7666654587
1 40 -10.7818107605
1 50 -9.1270656586
1 60 -6.9369101524
1 70 -7.2648868561
1 80 -6.6328811646
1 90 -7.6468834877
1 100 -6.3621997833
1 110 -6.0637278557
1 120 -4.0301957130
1 130 -5.0918998718
1 140 -8.9357042313
1 150 -8.5831356049
1 160 -4.0271134377
1 170 -3.9488794804
1 180 -2.7022485733
1 190 -3.3313465118
1 200 -2.5198080540
2 10 -8.3564815521
2 20 -6.9775967598
2 30 -3.8964085579
2 40 -5.1831488609
2 50 -4.8237872124
2 60 -3.7493612766
2 70 -1.2661349773
2 80 -1.4650223255
2 90 -0.8830040693
2 100 -0.9222005606
2 110 -1.3955782652
2 120 -1.9140579700
2 130 -2.1916849613
2 140 -1.1221017838
2 150 -1.3615627289
2 160 -2.1979794502
2 170 -1.9918712378
2 180 -1.9417334795
2 190 -1.8025853634
2 200 -1.9141874313
3 10 -11.4030742645
3 20 -4.3084235191
3 30 -4.7240481377
3 40 -3.2713422775
3 50 -4.9187712669
3 60 -0.8597027659
3 70 -1.0620372295
3 80 -1.2710326910
3 90 -1.1616873741
3 100 -2.9776844978
3 110 -2.2463901043
3 120 -3.5290362835
3 130 -3.6166217327
3 140 -4.5396070480
3 150 -3.5207307339
3 160 -2.0278449059
3 170 -4.2807435989
3 180 -4.3242754936
3 190 -3.7436275482
3 200 -2.3224675655
4 10 -3.2976489067
4 20 -3.7752563953
4 30 -1.2944341898
4 40 -2.5123307705
4 50 -1.2892720699
4 60 -1.3572751284
4 70 -2.4585311413
4 80 -2.1499316692
4 90 -3.8180468082
4 100 -4.1904706955
4 110 -4.4800271988
4 120 -2.9341952801
4 130 -4.6913828850
4 140 -4.1161565781
4 150 -3.6549282074
4 160 -5.5473432541
4 170 -3.1305575371
4 180 -2.3965871334
4 190 -3.0111300945
4 200 -5.0476174355
5 10 -4.0086541176
5 20 -10.2692451477
5 30 -1.3924789429
5 40 -3.5730023384
5 50 -2.8227424622
5 60 -1.2229908705
5 70 -2.2871184349
5 80 -2.7205739021
5 90 -19.1944179535
5 100 -7.3943934441
5 110 -3.4768483639
5 120 -5.0978651047
5 130 -5.4835844040
5 140 -8.1548528671
5 150 -6.3057069778
5 160 -3.8571877480
5 170 -2.4966461658
5 180 -4.6687364578
5 190 -6.7707901001
5 200 -6.6182427406
