# Layers Neurons R2_Score
1 10 -12.8922824860
1 20 -16.0174617767
1 30 -18.0057277679
1 40 -12.6122722626
1 50 -14.7893218994
1 60 -18.0502357483
1 70 -16.3086986542
1 80 -15.6325120926
1 90 -14.1563978195
1 100 -17.8546295166
1 110 -16.9648094177
1 120 -15.8334913254
1 130 -13.3058872223
1 140 -15.4283466339
1 150 -16.4792594910
1 160 -16.1449794769
1 170 -17.8080139160
1 180 -15.3512620926
1 190 -15.4716920853
1 200 -18.1952629089
2 10 -5.7474961281
2 20 -12.1116943359
2 30 -17.3317546844
2 40 -9.9537458420
2 50 -17.0393466949
2 60 -15.6802263260
2 70 -16.1148548126
2 80 -16.5110225677
2 90 -12.5703105927
2 100 -12.6644716263
2 110 -13.1562757492
2 120 -16.0904502869
2 130 -13.5084314346
2 140 -13.3124895096
2 150 -13.4625778198
2 160 -13.8903093338
2 170 -9.1257886887
2 180 -13.1240386963
2 190 -8.5083065033
2 200 -16.5700340271
3 10 -5.8037552834
3 20 -11.7810592651
3 30 -13.5734100342
3 40 -14.2119216919
3 50 -11.8523912430
3 60 -10.6321077347
3 70 -10.9584436417
3 80 -16.3565959930
3 90 -11.1593132019
3 100 -17.8908653259
3 110 -12.9351806641
3 120 -12.8124513626
3 130 -9.2425708771
3 140 -14.3043117523
3 150 -11.4693727493
3 160 -15.3524608612
3 170 -8.0036458969
3 180 -8.6058397293
3 190 -16.2946071625
3 200 -12.1524362564
4 10 -14.1028823853
4 20 -10.2557773590
4 30 -12.4544095993
4 40 -5.9574074745
4 50 -7.2788705826
4 60 -12.5976610184
4 70 -13.2690973282
4 80 -13.8497085571
4 90 -8.1384592056
4 100 -21.0485763550
4 110 -10.8038091660
4 120 -8.7902803421
4 130 -14.6651697159
4 140 -10.5960369110
4 150 -7.5428695679
4 160 -13.8911428452
4 170 -9.1693897247
4 180 -11.4093408585
4 190 -6.3904800415
4 200 -6.4464697838
5 10 -11.5626831055
5 20 -4.7346472740
5 30 -8.0216407776
5 40 -8.0185298920
5 50 -13.7859249115
5 60 -26.6545314789
5 70 -9.2064666748
5 80 -10.9456348419
5 90 -5.7221741676
5 100 -9.8487672806
5 110 -13.0528593063
5 120 -7.8732509613
5 130 -14.7780408859
5 140 -11.4621438980
5 150 -19.0103378296
5 160 -8.5486602783
5 170 -19.4707527161
5 180 -9.6959562302
5 190 -15.7378892899
5 200 -6.9744410515
