# Layers Neurons R2_Score
1 10 -5.8115186691
1 20 -13.2037420273
1 30 -12.6018419266
1 40 -12.8334617615
1 50 -13.9578113556
1 60 -13.7089347839
1 70 -11.6032590866
1 80 -12.7560167313
1 90 -13.9808731079
1 100 -15.6078577042
1 110 -11.5700635910
1 120 -11.2914867401
1 130 -12.2180929184
1 140 -10.9819726944
1 150 -13.2989635468
1 160 -10.1393365860
1 170 -11.2770090103
1 180 -16.9721069336
1 190 -9.1583356857
1 200 -11.2337045670
2 10 -7.9488873482
2 20 -5.9390702248
2 30 -11.9051055908
2 40 -9.0388631821
2 50 -7.9340138435
2 60 -8.1435089111
2 70 -10.5236473083
2 80 -9.4990253448
2 90 -7.5017437935
2 100 -7.2918276787
2 110 -9.4900159836
2 120 -22.5155792236
2 130 -13.5622873306
2 140 -9.1207304001
2 150 -6.7785844803
2 160 -6.3183264732
2 170 -7.5335502625
2 180 -4.5011510849
2 190 -8.7380676270
2 200 -13.1936044693
3 10 -8.8344812393
3 20 -13.9582595825
3 30 -8.6179065704
3 40 -10.0350551605
3 50 -4.3945798874
3 60 -11.5390691757
3 70 -3.8805327415
3 80 -6.7781872749
3 90 -4.9783186913
3 100 -8.3220663071
3 110 -6.1798052788
3 120 -3.1977629662
3 130 -6.7929935455
3 140 -6.0902791023
3 150 -10.0150299072
3 160 -3.4878716469
3 170 -5.7182512283
3 180 -9.5569133759
3 190 -3.0488352776
3 200 -3.2046151161
4 10 -5.5911197662
4 20 -10.7801856995
4 30 -8.1178750992
4 40 -12.4747695923
4 50 -4.9141592979
4 60 -6.2490682602
4 70 -7.3093256950
4 80 -18.5911693573
4 90 -18.4890956879
4 100 -5.2952332497
4 110 -2.3306627274
4 120 -2.9346139431
4 130 -2.3570821285
4 140 -3.9442670345
4 150 -3.3800890446
4 160 -3.2660589218
4 170 -16.7720642090
4 180 -11.4204263687
4 190 -4.4073257446
4 200 -1.7878509760
5 10 -4.7930812836
5 20 -4.4496598244
5 30 -9.3736963272
5 40 -9.2306556702
5 50 -7.4658708572
5 60 -9.9677572250
5 70 -4.4309849739
5 80 -24.1050987244
5 90 -10.0264158249
5 100 -1.7332319021
5 110 -15.0300312042
5 120 -5.6274232864
5 130 -6.9293098450
5 140 -18.2883739471
5 150 -3.4260082245
5 160 -1.6080659628
5 170 -2.3355987072
5 180 -5.8620295525
5 190 -1.9927047491
5 200 -1.5851384401
