# Layers Neurons R2_Score
1 10 0.2928344309
1 20 -0.1590422243
1 30 0.7275112867
1 40 0.7856156230
1 50 0.7762088180
1 60 0.6947050095
1 70 0.5084882975
1 80 0.7839409113
1 90 0.6599541903
1 100 0.7867425084
1 110 -1.0910855532
1 120 0.3110390306
1 130 0.0612222962
1 140 0.7503692508
1 150 0.3175159395
1 160 0.7778196335
1 170 0.6838982701
1 180 -0.4077448845
1 190 0.3972406089
1 200 0.5937098861
2 10 -0.2241305560
2 20 0.3253220916
2 30 0.5930372477
2 40 0.6187712550
2 50 -0.6157788038
2 60 0.5583966970
2 70 0.0949157700
2 80 -0.1814769208
2 90 0.0632593185
2 100 0.1217063069
2 110 0.6846076250
2 120 0.6821237803
2 130 0.6377108693
2 140 0.6166260839
2 150 0.7691184878
2 160 -0.4329046607
2 170 0.5834003091
2 180 -0.3936078250
2 190 0.3666116893
2 200 -1.5296478271
3 10 -0.8839971423
3 20 -0.8699080944
3 30 0.1611396521
3 40 -4.4994044304
3 50 -6.6726269722
3 60 -0.8135545850
3 70 -0.2151957899
3 80 -0.3880511224
3 90 -0.8696228862
3 100 0.4167044461
3 110 0.5047332048
3 120 0.0944311172
3 130 0.7306896448
3 140 0.4883082807
3 150 0.7206652164
3 160 0.7348259091
3 170 -4.6855816841
3 180 -0.7495729923
3 190 0.0835411325
3 200 -3.0347378254
4 10 -0.1460905075
4 20 -2.0836393833
4 30 0.3399662971
4 40 0.2213002592
4 50 -0.1052681506
4 60 0.3435123563
4 70 -0.4991623461
4 80 0.3964192867
4 90 0.6669183969
4 100 0.5992363095
4 110 -3.2308933735
4 120 0.5449765325
4 130 0.4177373648
4 140 -0.0680667311
4 150 0.4598852992
4 160 -3.2248675823
4 170 0.5672237873
4 180 0.0311327260
4 190 -4.2591624260
4 200 -1.2902954817
5 10 -2.6690921783
5 20 -0.4779788554
5 30 -4.0897912979
5 40 -0.2264948189
5 50 0.2958908677
5 60 -0.2640452087
5 70 0.2715144455
5 80 -2.9027798176
5 90 -1.2090654373
5 100 -0.4977298677
5 110 -0.2046718001
5 120 0.1381096989
5 130 0.5645628572
5 140 0.6550248265
5 150 -2.6365468502
5 160 0.6689716578
5 170 0.5399238467
5 180 -2.2792828083
5 190 -0.9609178901
5 200 0.6128054857
