# Layers Neurons R2_Score
1 10 -4.6539497375
1 20 -2.2195823193
1 30 -1.1914850473
1 40 -0.6493312716
1 50 -1.0045790672
1 60 -0.7888953090
1 70 -0.6560990214
1 80 -0.6973362565
1 90 -0.5313610435
1 100 -0.2868379056
1 110 -0.3013639152
1 120 -0.5877644420
1 130 0.1521237493
1 140 -0.5793125629
1 150 -0.1566321254
1 160 -0.0043372563
1 170 0.1491755694
1 180 -0.4870020151
1 190 0.1985864490
1 200 0.0830410570
2 10 -4.7743968964
2 20 -1.3591594696
2 30 -2.1320884228
2 40 -2.9372825623
2 50 -2.3175969124
2 60 -2.2639973164
2 70 -1.6729996204
2 80 -1.2510622740
2 90 -1.5459079742
2 100 -0.4342260659
2 110 -0.4132613540
2 120 0.0094470428
2 130 -0.1230252981
2 140 -0.1071166173
2 150 0.0239852630
2 160 0.0266543534
2 170 -1.6430834532
2 180 -0.7313877940
2 190 -0.2073288709
2 200 -1.4658097029
3 10 -1.4634920359
3 20 -8.4791240692
3 30 -0.6022692919
3 40 -2.9843833447
3 50 -1.2321819067
3 60 -8.7267160416
3 70 -0.2230064124
3 80 -0.5240515471
3 90 -0.5733113289
3 100 -1.9543888569
3 110 -0.3282936811
3 120 -2.9850602150
3 130 -1.3472881317
3 140 -2.5204515457
3 150 -3.0287952423
3 160 -2.0682339668
3 170 -0.2127845287
3 180 0.0848443732
3 190 -11.3254556656
3 200 -1.6229280233
4 10 -0.9375436902
4 20 -5.9243044853
4 30 -3.9590444565
4 40 -3.8053579330
4 50 -3.9277029037
4 60 -0.3457764387
4 70 -12.6933956146
4 80 -2.7742943764
4 90 -7.3803029060
4 100 -7.9046359062
4 110 -0.5528094769
4 120 -7.9876489639
4 130 0.2970913947
4 140 -3.4308538437
4 150 -0.8242634535
4 160 -3.4036674500
4 170 -0.5565894842
4 180 -2.6252374649
4 190 -5.4240541458
4 200 -1.2797999382
5 10 -1.3883881569
5 20 -3.5353312492
5 30 -2.5371241570
5 40 -2.4752683640
5 50 -7.5707588196
5 60 -6.3126387596
5 70 -0.5362071395
5 80 -4.8689465523
5 90 -1.0201519728
5 100 -7.0375809669
5 110 -2.2164165974
5 120 -0.1895867437
5 130 -3.7921063900
5 140 -2.0436310768
5 150 -0.2599056959
5 160 -4.5083394051
5 170 -1.4231485128
5 180 -3.4403862953
5 190 -21.4414730072
5 200 -5.5025320053
