# Layers Neurons R2_Score
1 10 -0.3464692831
1 20 0.6423064470
1 30 0.6859692335
1 40 0.7502959371
1 50 0.7603489757
1 60 0.7377268076
1 70 0.7640996575
1 80 0.8303664327
1 90 0.8093539476
1 100 0.8029613495
1 110 0.6923417449
1 120 0.7071155310
1 130 0.7801306844
1 140 0.8237300515
1 150 0.7228708267
1 160 0.8355644345
1 170 0.6876870394
1 180 0.8401704431
1 190 0.7915688753
1 200 0.7477036715
2 10 0.5034561157
2 20 0.7016276121
2 30 0.7645581365
2 40 0.7567974925
2 50 0.8566561937
2 60 0.7590855956
2 70 0.6189008355
2 80 0.7912381887
2 90 0.7633363605
2 100 0.6572632790
2 110 0.7882646918
2 120 0.8491816521
2 130 0.8658931255
2 140 0.8449999094
2 150 0.6692035198
2 160 0.7240299582
2 170 0.8771991730
2 180 0.8454777598
2 190 0.7910991907
2 200 0.8317481875
3 10 -0.4846532047
3 20 0.7463456392
3 30 0.6930803657
3 40 0.7392895818
3 50 0.8578897715
3 60 0.8488839269
3 70 0.8488774896
3 80 0.7924988866
3 90 0.8477324843
3 100 0.8188485503
3 110 0.8282355666
3 120 0.8077491522
3 130 0.8258994818
3 140 0.6141932607
3 150 0.8139444590
3 160 0.7555267811
3 170 0.8119317889
3 180 0.7772879004
3 190 0.8953434825
3 200 0.8641435504
4 10 0.2926462591
4 20 0.4793553054
4 30 0.5507919788
4 40 0.8529905677
4 50 0.8466297984
4 60 0.7863400578
4 70 0.7366040945
4 80 0.8145843148
4 90 0.8153201342
4 100 0.7735560536
4 110 0.7518645525
4 120 0.8329757452
4 130 0.8728520870
4 140 0.8205254078
4 150 0.8701909781
4 160 0.9057909250
4 170 0.8898615837
4 180 0.8195874691
4 190 0.8775377274
4 200 0.8578262925
5 10 0.0366826057
5 20 0.2935469747
5 30 0.6471381783
5 40 0.7712212801
5 50 0.7160077095
5 60 0.6380020976
5 70 0.8131539226
5 80 0.8175255060
5 90 0.8225077987
5 100 0.8337137699
5 110 0.8237590194
5 120 0.7592292428
5 130 0.8949736357
5 140 0.8312422633
5 150 0.8351126909
5 160 0.7559906244
5 170 0.8804548383
5 180 0.8676465750
5 190 0.8050570488
5 200 0.9163796306
