# Layers Neurons R2_Score
1 10 0.8627521396
1 20 0.8513119221
1 30 0.8663254976
1 40 0.7830484509
1 50 0.8870818019
1 60 0.7321998477
1 70 0.9391015172
1 80 0.8652332425
1 90 0.8818553090
1 100 0.8137000203
1 110 0.9011197686
1 120 0.8801005483
1 130 0.8392055035
1 140 0.8077730536
1 150 0.8301765323
1 160 0.7992376685
1 170 0.8423917294
1 180 0.8439655900
1 190 0.8778874278
1 200 0.8650676608
2 10 0.8684970737
2 20 0.8630446196
2 30 0.8373171687
2 40 0.7821578383
2 50 0.8617173433
2 60 0.8611009121
2 70 0.8706775904
2 80 0.9302580953
2 90 0.8570518494
2 100 0.7905187011
2 110 0.9057527184
2 120 0.8664931655
2 130 0.8746115565
2 140 0.8976135254
2 150 0.8587210774
2 160 0.9094554186
2 170 0.9192956090
2 180 0.9078663588
2 190 0.9215369225
2 200 0.9380125999
3 10 0.3232569695
3 20 0.8752154708
3 30 0.8960768580
3 40 0.8671982884
3 50 0.8588376641
3 60 0.9263395071
3 70 0.8270789981
3 80 0.9055042267
3 90 0.9400559664
3 100 0.8970200419
3 110 0.9228886366
3 120 0.9314000607
3 130 0.9463352561
3 140 0.9176280499
3 150 0.9211354852
3 160 0.9314702749
3 170 0.9253965020
3 180 0.9134056568
3 190 0.8974614143
3 200 0.8983055949
4 10 0.3814385831
4 20 0.6996083856
4 30 0.8459955454
4 40 0.9380719662
4 50 0.8897526264
4 60 0.8983238339
4 70 0.8947253823
4 80 0.9513041973
4 90 0.9422780871
4 100 0.9536100030
4 110 0.9497066140
4 120 0.9241139889
4 130 0.9462220073
4 140 0.9378308058
4 150 0.9486553669
4 160 0.9320523739
4 170 0.9214261770
4 180 0.9361057878
4 190 0.9456029534
4 200 0.9546715617
5 10 0.3112031519
5 20 0.5473089218
5 30 0.8426793814
5 40 0.7944230437
5 50 0.8743991256
5 60 0.9127627611
5 70 0.9092426300
5 80 0.9137307405
5 90 0.9125317335
5 100 0.9398189187
5 110 0.9191740751
5 120 0.7444855571
5 130 0.9410908222
5 140 0.9539605379
5 150 0.9135447741
5 160 0.9330285192
5 170 0.9269596934
5 180 0.9386899471
5 190 0.9396678209
5 200 0.9458457828
