# Layers Neurons R2_Score
1 10 -2.1741549969
1 20 -2.3328890800
1 30 -3.0649886131
1 40 -4.6573739052
1 50 -4.9517712593
1 60 -3.3550906181
1 70 -4.6898550987
1 80 -5.1894021034
1 90 -4.7160511017
1 100 -3.1405501366
1 110 -3.4378507137
1 120 -2.8095600605
1 130 -4.3121814728
1 140 -3.2377610207
1 150 -1.7534819841
1 160 -2.2128767967
1 170 -3.0911293030
1 180 -2.3216643333
1 190 -2.2175459862
1 200 -1.7955278158
2 10 -3.0640268326
2 20 -0.4376198947
2 30 -1.7898184061
2 40 -2.1716268063
2 50 -2.3327717781
2 60 -1.1552941799
2 70 -1.9743442535
2 80 -0.8481429219
2 90 -1.0849465132
2 100 -1.1252807379
2 110 -0.6275708079
2 120 -0.8697162271
2 130 -0.6900624633
2 140 -0.6795660853
2 150 -0.7834854126
2 160 -0.8057618141
2 170 -0.8040568829
2 180 -0.7293968201
2 190 -0.7041841149
2 200 -0.5512912869
3 10 -0.1157216057
3 20 -1.9301079512
3 30 -0.3183766305
3 40 -0.9981964231
3 50 -0.2220901251
3 60 -0.4877960086
3 70 -0.2530981302
3 80 -0.6734139323
3 90 -0.3684316278
3 100 -0.2467785180
3 110 -0.2938383520
3 120 -0.2351425141
3 130 -0.2345463336
3 140 -0.2495289594
3 150 -0.1199068353
3 160 -0.5396589041
3 170 -0.3119818866
3 180 -0.1149261594
3 190 -0.1498118937
3 200 -0.1785798967
4 10 -0.3484430015
4 20 -0.3031226099
4 30 -0.4000461996
4 40 -0.1659699976
4 50 -0.4277657568
4 60 -0.1005807072
4 70 -0.3289050460
4 80 -0.1826251745
4 90 -0.1028554812
4 100 -0.1456070840
4 110 -0.1462028027
4 120 -0.1037200987
4 130 -0.1656406075
4 140 -0.1554184705
4 150 -0.2119773626
4 160 -0.1460567713
4 170 -0.1703306735
4 180 -0.1699020118
4 190 -0.2397341877
4 200 -0.2881593108
5 10 -0.0097645214
5 20 -0.2064777315
5 30 -0.0615991540
5 40 -0.0979041532
5 50 -0.0823868513
5 60 -0.0919681489
5 70 -0.1174331084
5 80 -0.1610588431
5 90 -0.1361207962
5 100 -0.1199491918
5 110 -0.2468605042
5 120 -0.0498380847
5 130 -0.0579080842
5 140 -0.0641244501
5 150 -0.1079586297
5 160 -0.0894151106
5 170 -0.2242600918
5 180 -0.1533237994
5 190 -0.2552543283
5 200 -0.2917577326
