# Layers Neurons R2_Score
1 10 -1.7647136450
1 20 -4.6929254532
1 30 -1.5929261446
1 40 -2.3539886475
1 50 -2.1999206543
1 60 -1.4196938276
1 70 -2.2060105801
1 80 -0.9447370172
1 90 -1.5143413544
1 100 -1.2441682816
1 110 -1.7998842001
1 120 -1.6743521690
1 130 -1.1767024994
1 140 -0.6844692826
1 150 0.0748873055
1 160 -1.2783077955
1 170 -0.4365780652
1 180 -0.5620376468
1 190 -0.1243842021
1 200 -0.2851461768
2 10 -0.1071112081
2 20 -1.0377929211
2 30 -0.3081414998
2 40 -0.4858337939
2 50 -1.1699621677
2 60 -0.5110448599
2 70 -0.7581887245
2 80 -0.7017602921
2 90 -0.9252868891
2 100 0.2840049267
2 110 -0.4818673134
2 120 0.3334632218
2 130 0.2708699405
2 140 0.0721234754
2 150 -0.0724440441
2 160 0.0532679409
2 170 0.2048943490
2 180 0.2063300014
2 190 0.5984965563
2 200 0.4715774953
3 10 -0.2836286128
3 20 0.0528595522
3 30 -0.0012742723
3 40 -0.3443587720
3 50 -0.3470150232
3 60 -0.0309743062
3 70 -0.9643929601
3 80 0.2352630049
3 90 0.3253672421
3 100 0.3192670941
3 110 0.2936594486
3 120 0.1839258075
3 130 0.1736118644
3 140 0.3576741219
3 150 0.3997427523
3 160 0.2457011044
3 170 0.3844676018
3 180 0.4058276415
3 190 0.4288864136
3 200 0.5789710283
4 10 -0.2999438643
4 20 -0.3261475563
4 30 -0.3876665533
4 40 -0.7655937672
4 50 0.0611529201
4 60 -0.9778262377
4 70 -0.6156425476
4 80 0.3103173077
4 90 0.0038537162
4 100 -0.0889050066
4 110 0.4457712173
4 120 -0.0946563184
4 130 0.0781883821
4 140 0.3388095200
4 150 0.6352283955
4 160 -0.2284429222
4 170 0.6223008037
4 180 0.4546136856
4 190 0.5996112227
4 200 0.6300045848
5 10 -0.0440119877
5 20 -1.2955429554
5 30 -0.4474228621
5 40 0.0719591528
5 50 -0.4386823177
5 60 -0.5751583576
5 70 -0.5342863202
5 80 0.2452178448
5 90 0.4760009646
5 100 -0.0248051230
5 110 0.1992205381
5 120 0.5480540991
5 130 0.2112924308
5 140 0.5224801302
5 150 0.2592020333
5 160 0.3521468639
5 170 0.5444998741
5 180 0.5563811064
5 190 0.5353002548
5 200 0.4797936976
