# Layers Neurons R2_Score
1 10 0.9055946469
1 20 0.9232593179
1 30 0.9098466635
1 40 0.7721605301
1 50 0.9621526599
1 60 0.8518565297
1 70 0.9218485951
1 80 0.9482876658
1 90 0.8397508860
1 100 0.9442840815
1 110 0.9530429244
1 120 0.8674151897
1 130 0.9167730212
1 140 0.9110306501
1 150 0.9393162131
1 160 0.9382292628
1 170 0.9189562201
1 180 0.9267268777
1 190 0.9407214522
1 200 0.9241835475
2 10 0.5448057055
2 20 0.9423282146
2 30 0.9480326772
2 40 0.9487748146
2 50 0.9038020372
2 60 0.9212725163
2 70 0.9479712248
2 80 0.9588612318
2 90 0.9355780482
2 100 0.9650166035
2 110 0.8800160289
2 120 0.9379379153
2 130 0.9475884438
2 140 0.9176210761
2 150 0.9148417711
2 160 0.9345439076
2 170 0.9436803460
2 180 0.8837181330
2 190 0.9507183433
2 200 0.9488630295
3 10 0.7094878554
3 20 0.9347732663
3 30 0.9369205832
3 40 0.9081386924
3 50 0.9458904862
3 60 0.9702271819
3 70 0.9508117437
3 80 0.9619778395
3 90 0.9280409813
3 100 0.9491987824
3 110 0.9410604239
3 120 0.9450672865
3 130 0.9521026611
3 140 0.9348405004
3 150 0.9310995936
3 160 0.9351896048
3 170 0.9580261111
3 180 0.9392893314
3 190 0.9536952376
3 200 0.9568539262
4 10 0.7437270284
4 20 0.8652900457
4 30 0.9676167369
4 40 0.8980066776
4 50 0.9723781943
4 60 0.9505440593
4 70 0.9515885711
4 80 0.9422917962
4 90 0.9477403760
4 100 0.9550132751
4 110 0.9118896723
4 120 0.9482339025
4 130 0.9491997957
4 140 0.9508773685
4 150 0.9421539307
4 160 0.9560925961
4 170 0.9599480629
4 180 0.9334144592
4 190 0.9604534507
4 200 0.9398327470
5 10 0.3562905788
5 20 0.9046060443
5 30 0.9002695084
5 40 0.9592024684
5 50 0.9404533505
5 60 0.9468745589
5 70 0.9622671008
5 80 0.9587928653
5 90 0.9453672171
5 100 0.9509055018
5 110 0.9407422543
5 120 0.9605274796
5 130 0.9492102265
5 140 0.9433905482
5 150 0.9453656077
5 160 0.9333083034
5 170 0.9265534282
5 180 0.9192106128
5 190 0.9671595693
5 200 0.9517569542
