# Layers Neurons R2_Score
1 10 -225.3538208008
1 20 -134.7979888916
1 30 -173.7014007568
1 40 -180.3994750977
1 50 -109.8226089478
1 60 -110.9675140381
1 70 -109.4171600342
1 80 -96.9364089966
1 90 -118.8945999146
1 100 -162.2151031494
1 110 -99.5397262573
1 120 -122.1876220703
1 130 -87.5024719238
1 140 -84.3292312622
1 150 -51.5425796509
1 160 -80.0888748169
1 170 -58.5971336365
1 180 -74.0610122681
1 190 -51.9535140991
1 200 -56.9308052063
2 10 -97.7471923828
2 20 -68.4186477661
2 30 -66.5754699707
2 40 -105.6478042603
2 50 -85.2854003906
2 60 -45.5114250183
2 70 -41.4448242188
2 80 -67.1008911133
2 90 -47.4832420349
2 100 -99.0396194458
2 110 -17.1004695892
2 120 -149.5223083496
2 130 -54.4797477722
2 140 -50.6398620605
2 150 -86.5280380249
2 160 -24.3398342133
2 170 -16.5634593964
2 180 -37.3990783691
2 190 -30.4986858368
2 200 -19.9908428192
3 10 -63.6682739258
3 20 -13.9646272659
3 30 -130.9147796631
3 40 -97.5391998291
3 50 -87.5404586792
3 60 -13.7725267410
3 70 -24.6932964325
3 80 -17.2029094696
3 90 -30.1039733887
3 100 -17.9331150055
3 110 -26.8009376526
3 120 -15.2392091751
3 130 -24.5339355469
3 140 -21.1689167023
3 150 -21.1057605743
3 160 -35.5546417236
3 170 -18.8141593933
3 180 -16.3635616302
3 190 -12.1221122742
3 200 -20.5565013885
4 10 -2.2789096832
4 20 -23.2921352386
4 30 -66.7389831543
4 40 -56.1494445801
4 50 -77.6838073730
4 60 -21.8843078613
4 70 -17.2446708679
4 80 -81.0170516968
4 90 -8.6294593811
4 100 -20.1295433044
4 110 -7.3742876053
4 120 -23.6665363312
4 130 -12.9608507156
4 140 -45.0052680969
4 150 -12.5755414963
4 160 -35.3982009888
4 170 -52.6339988708
4 180 -31.3089733124
4 190 -33.6724281311
4 200 -12.7055482864
5 10 -4.7581200600
5 20 -30.6562156677
5 30 -8.5660820007
5 40 -76.5898513794
5 50 -58.7486763000
5 60 -37.1811141968
5 70 -11.4628744125
5 80 -12.1081428528
5 90 -22.2369251251
5 100 -7.0434341431
5 110 -17.2977371216
5 120 -23.9001426697
5 130 -20.5090427399
5 140 -16.6610813141
5 150 -37.6908874512
5 160 -16.8168697357
5 170 -30.8712577820
5 180 -22.4235744476
5 190 -15.1494998932
5 200 -20.3704528809
