# Layers Neurons R2_Score
1 10 -0.3026671708
1 20 -2.8149464130
1 30 -6.6595449448
1 40 -1.2103461027
1 50 -8.0048856735
1 60 -2.9783537388
1 70 -4.0917387009
1 80 -6.7952623367
1 90 -6.0265426636
1 100 -15.6755542755
1 110 -3.0150845051
1 120 -5.1518058777
1 130 -7.0463719368
1 140 -6.4612269402
1 150 -7.4569954872
1 160 -16.7617549896
1 170 -7.7661099434
1 180 -14.2435703278
1 190 -7.0764236450
1 200 -17.8161582947
2 10 -4.2440629005
2 20 -8.3648004532
2 30 -3.1981036663
2 40 -6.1489796638
2 50 -5.2975678444
2 60 -19.3672199249
2 70 -15.8807830811
2 80 -10.1938915253
2 90 -5.9376397133
2 100 -7.0714426041
2 110 -18.1460247040
2 120 -10.8016405106
2 130 -4.0710468292
2 140 -7.7485885620
2 150 -6.7810387611
2 160 -9.3532867432
2 170 -4.8663182259
2 180 -4.3362698555
2 190 -17.4439029694
2 200 -3.1627204418
3 10 -5.0410385132
3 20 -2.5429220200
3 30 -3.0650041103
3 40 -2.6073567867
3 50 -11.5249280930
3 60 -6.2475924492
3 70 -6.4488606453
3 80 -15.2655868530
3 90 -2.1527419090
3 100 -12.5256271362
3 110 -7.9122586250
3 120 -5.2105250359
3 130 -5.0728926659
3 140 -8.1444854736
3 150 -7.2401690483
3 160 -5.7260513306
3 170 -6.4333109856
3 180 -3.5306394100
3 190 -10.7343406677
3 200 -12.8437099457
4 10 -0.9790490270
4 20 -2.1853237152
4 30 -1.3885250092
4 40 -4.1323018074
4 50 -5.0167384148
4 60 -6.5886573792
4 70 -1.1290035248
4 80 -11.8512420654
4 90 -6.5483593941
4 100 -1.4602466822
4 110 -3.8613171577
4 120 -15.5746269226
4 130 -7.1853680611
4 140 -9.4844341278
4 150 -6.4081449509
4 160 -11.4921903610
4 170 -8.1817054749
4 180 -7.1984004974
4 190 -20.9071483612
4 200 -15.6682863235
5 10 -1.1476074457
5 20 -2.1981251240
5 30 -1.0987458229
5 40 -3.0684726238
5 50 -9.1046257019
5 60 -15.4803867340
5 70 -6.9015722275
5 80 -12.7787475586
5 90 -5.2223949432
5 100 -7.5791816711
5 110 -14.1875934601
5 120 -20.1176471710
5 130 -6.3638381958
5 140 -2.8015844822
5 150 -9.5711555481
5 160 -9.0306959152
5 170 -8.2575635910
5 180 -15.1740198135
5 190 -6.3726177216
5 200 -3.2783172131
