# Layers Neurons R2_Score
1 10 0.3842470050
1 20 -0.4737573266
1 30 -3.2823879719
1 40 -4.5564794540
1 50 -0.9800480604
1 60 -5.0881562233
1 70 -4.7523980141
1 80 -7.7500357628
1 90 -10.4468441010
1 100 -6.4886827469
1 110 -7.3564810753
1 120 -5.9152884483
1 130 -3.9413414001
1 140 -6.4350214005
1 150 -6.1560764313
1 160 -4.0563502312
1 170 -7.3482437134
1 180 -9.6861906052
1 190 -8.8566770554
1 200 -6.5282068253
2 10 0.2099923640
2 20 -1.7251971960
2 30 -0.5297812819
2 40 0.1058571711
2 50 -2.9108233452
2 60 -2.5943300724
2 70 -7.8644232750
2 80 -2.3498878479
2 90 -5.4412612915
2 100 -10.2994527817
2 110 -2.5862185955
2 120 -2.1765139103
2 130 -2.7512352467
2 140 -5.2248206139
2 150 -2.1640396118
2 160 -2.0081028938
2 170 -2.6130957603
2 180 -3.9618439674
2 190 -3.6741821766
2 200 -1.8545384407
3 10 -1.1847033501
3 20 -0.9264189601
3 30 -0.3227651715
3 40 -1.5688676834
3 50 -2.2313373089
3 60 -2.2177021503
3 70 -4.7135815620
3 80 -1.9051306248
3 90 -6.1756086349
3 100 -2.8723552227
3 110 -5.7594299316
3 120 -10.3913965225
3 130 -3.0332581997
3 140 -5.6605420113
3 150 -3.5414855480
3 160 -1.7394821644
3 170 -3.4815185070
3 180 -1.8464200497
3 190 -19.4893722534
3 200 -1.8160605431
4 10 -3.6441109180
4 20 -0.0808032155
4 30 -1.5854765177
4 40 -2.7635056973
4 50 -0.6313591003
4 60 -2.8261861801
4 70 -1.3853286505
4 80 -6.1036381721
4 90 -6.9962477684
4 100 -1.7810077667
4 110 -2.8160159588
4 120 -6.4444403648
4 130 -3.7300915718
4 140 -1.5112341642
4 150 -2.9096357822
4 160 -3.0905025005
4 170 -4.4244656563
4 180 -3.6637787819
4 190 -7.5518670082
4 200 -1.6738581657
5 10 0.5269371271
5 20 -0.5583471656
5 30 -2.7844407558
5 40 -0.5114895701
5 50 -2.2214045525
5 60 -1.4852916002
5 70 -1.7577018738
5 80 -2.9848632812
5 90 -19.4441795349
5 100 -4.8562927246
5 110 -2.5805583000
5 120 -5.5059099197
5 130 -6.6889076233
5 140 -6.5299463272
5 150 -3.8570499420
5 160 -4.6060290337
5 170 -6.3839459419
5 180 -9.2123489380
5 190 -10.7448682785
5 200 -6.3396286964
