# Layers Neurons R2_Score
1 10 -54.2808494568
1 20 -75.9261245728
1 30 -9.6934976578
1 40 -17.6318893433
1 50 -33.2628364563
1 60 -12.3165159225
1 70 -10.4926309586
1 80 -12.1282835007
1 90 -7.9274125099
1 100 -12.9528999329
1 110 -22.2475547791
1 120 -15.3431940079
1 130 -7.9658637047
1 140 -21.0704097748
1 150 -2.9459419250
1 160 -20.5922946930
1 170 -17.8066711426
1 180 -9.0244941711
1 190 -17.6043376923
1 200 -16.8304862976
2 10 -8.6897974014
2 20 -16.0149669647
2 30 -4.9938921928
2 40 -14.6099042892
2 50 -7.8407287598
2 60 -31.4494915009
2 70 -19.5413074493
2 80 -52.5786247253
2 90 -16.2040462494
2 100 -18.0906791687
2 110 -14.2424860001
2 120 -18.2962608337
2 130 -11.3784990311
2 140 -11.8143167496
2 150 -21.5275783539
2 160 -7.2741165161
2 170 -5.7534594536
2 180 -21.0301666260
2 190 -9.0217952728
2 200 -19.0873622894
3 10 -10.3500766754
3 20 -8.4706125259
3 30 -14.6784715652
3 40 -3.0757892132
3 50 -6.9169883728
3 60 -3.8962302208
3 70 -11.4460010529
3 80 -26.7062377930
3 90 -5.7549743652
3 100 -13.7808933258
3 110 -17.7942504883
3 120 -9.4945631027
3 130 -6.9813990593
3 140 -18.2475948334
3 150 -7.6498036385
3 160 -11.1505947113
3 170 -7.8894095421
3 180 -12.6221990585
3 190 -19.3089447021
3 200 -7.0581030846
4 10 -8.5896759033
4 20 -5.7211489677
4 30 -11.2059659958
4 40 -10.4802665710
4 50 -16.1284046173
4 60 -4.8307847977
4 70 -5.9269366264
4 80 -3.4014029503
4 90 -3.4637858868
4 100 -10.1638841629
4 110 -11.0752964020
4 120 -6.9452624321
4 130 -8.8823280334
4 140 -6.7745008469
4 150 -3.7780456543
4 160 -6.6163511276
4 170 -14.4877767563
4 180 -3.9988551140
4 190 -14.1680612564
4 200 -6.5923428535
5 10 -31.7912082672
5 20 -14.7603712082
5 30 -4.3534960747
5 40 -9.9504270554
5 50 -11.1087188721
5 60 -16.6524562836
5 70 -7.6694588661
5 80 -5.8471970558
5 90 -8.5032873154
5 100 -16.4362754822
5 110 -7.2186312675
5 120 -9.6200838089
5 130 -17.8557415009
5 140 -4.9171280861
5 150 -5.4600930214
5 160 -12.6346864700
5 170 -3.4625566006
5 180 -4.8765616417
5 190 -7.5920071602
5 200 -5.1391105652
