# Layers Neurons R2_Score
1 10 -227.6074066162
1 20 -253.9721832275
1 30 -489.3009033203
1 40 -257.9856567383
1 50 -193.5603485107
1 60 -200.7440948486
1 70 -130.1091613770
1 80 -153.3719177246
1 90 -162.0474700928
1 100 -174.4827880859
1 110 -155.2693176270
1 120 -150.9629211426
1 130 -142.6927947998
1 140 -118.5063858032
1 150 -125.7089843750
1 160 -127.8907928467
1 170 -106.3627166748
1 180 -131.6731109619
1 190 -91.8951492310
1 200 -101.4916610718
2 10 -64.6112747192
2 20 -74.4972229004
2 30 -71.9317703247
2 40 -70.7608184814
2 50 -98.9198074341
2 60 -93.7524032593
2 70 -63.6772727966
2 80 -124.5777511597
2 90 -62.1944541931
2 100 -90.1758193970
2 110 -66.1247634888
2 120 -63.0567092896
2 130 -76.7654876709
2 140 -68.3754730225
2 150 -91.1413879395
2 160 -71.0531005859
2 170 -59.1645774841
2 180 -57.8539772034
2 190 -77.5261306763
2 200 -79.5579147339
3 10 -18.7532577515
3 20 -23.3558826447
3 30 -45.0135498047
3 40 -16.5256252289
3 50 -36.0061340332
3 60 -23.2460689545
3 70 -55.3244743347
3 80 -49.8450508118
3 90 -57.2710762024
3 100 -59.3222846985
3 110 -66.3185577393
3 120 -76.1166305542
3 130 -83.8469009399
3 140 -91.4466323853
3 150 -54.6351928711
3 160 -123.6899414062
3 170 -59.4319038391
3 180 -59.4488487244
3 190 -90.1979904175
3 200 -42.8782806396
4 10 -135.3571929932
4 20 -3.8757703304
4 30 -27.8878231049
4 40 -20.4479675293
4 50 -30.9705219269
4 60 -15.4883575439
4 70 -10.1083536148
4 80 -28.2717838287
4 90 -52.5901565552
4 100 -24.4272594452
4 110 -123.2841415405
4 120 -385.3450012207
4 130 -38.2818527222
4 140 -146.1931457520
4 150 -207.9530487061
4 160 -45.2026748657
4 170 -23.1353092194
4 180 -127.4255447388
4 190 -64.1635284424
4 200 -14.2880716324
5 10 -15.0792493820
5 20 -19.7577800751
5 30 -16.9638576508
5 40 -8.1526250839
5 50 -11.6448860168
5 60 -42.1194419861
5 70 -69.3270797729
5 80 -27.6950073242
5 90 -17.3995666504
5 100 -102.2937622070
5 110 -145.5081329346
5 120 -35.5896682739
5 130 -84.5670166016
5 140 -71.7121124268
5 150 -49.8170089722
5 160 -157.1256103516
5 170 -142.1031951904
5 180 -49.1974830627
5 190 -98.8302078247
5 200 -143.8375396729
