# Layers Neurons R2_Score
1 10 -155.1899108887
1 20 -288.5362243652
1 30 -280.7418518066
1 40 -223.9458770752
1 50 -281.0300598145
1 60 -365.5556640625
1 70 -227.0506286621
1 80 -231.0752716064
1 90 -240.8309478760
1 100 -262.5791625977
1 110 -316.2673034668
1 120 -157.8918457031
1 130 -198.3980865479
1 140 -214.3456268311
1 150 -192.1096801758
1 160 -149.0593719482
1 170 -146.4401397705
1 180 -170.0187835693
1 190 -231.2229156494
1 200 -140.7820739746
2 10 -136.0616760254
2 20 -44.8886718750
2 30 -60.5534934998
2 40 -132.5895843506
2 50 -111.4640655518
2 60 -54.4796981812
2 70 -122.1982116699
2 80 -61.1554489136
2 90 -80.2231521606
2 100 -69.7861785889
2 110 -62.1854705811
2 120 -50.4218063354
2 130 -58.7170982361
2 140 -71.3874893188
2 150 -58.5221595764
2 160 -53.8227920532
2 170 -38.3365478516
2 180 -50.7771797180
2 190 -52.6006317139
2 200 -56.5510215759
3 10 -42.1743354797
3 20 -69.7944488525
3 30 -37.1259384155
3 40 -43.9027709961
3 50 -27.1181545258
3 60 -26.1365051270
3 70 -23.6300315857
3 80 -22.8582859039
3 90 -52.6149787903
3 100 -38.7148513794
3 110 -32.2580566406
3 120 -48.1335639954
3 130 -31.6816749573
3 140 -35.3071212769
3 150 -26.6282405853
3 160 -17.9409236908
3 170 -18.1147766113
3 180 -17.7038574219
3 190 -25.5812187195
3 200 -20.3165512085
4 10 -43.3134078979
4 20 -20.4181613922
4 30 -36.6118392944
4 40 -16.7476215363
4 50 -10.8925914764
4 60 -8.1420545578
4 70 -9.5162162781
4 80 -13.3691654205
4 90 -16.8126583099
4 100 -29.6543464661
4 110 -18.9254169464
4 120 -14.3315277100
4 130 -18.2091045380
4 140 -17.5717372894
4 150 -19.0797080994
4 160 -24.7751750946
4 170 -19.3923568726
4 180 -14.9278478622
4 190 -17.7679996490
4 200 -37.9474906921
5 10 -2.6715650558
5 20 -3.4021880627
5 30 -24.1232891083
5 40 -6.6850686073
5 50 -10.1251602173
5 60 -9.1658182144
5 70 -8.2615451813
5 80 -31.8205738068
5 90 -17.1764698029
5 100 -15.0050573349
5 110 -26.6928825378
5 120 -13.2446365356
5 130 -6.4850139618
5 140 -23.2809371948
5 150 -32.5401306152
5 160 -28.4160881042
5 170 -29.5430622101
5 180 -37.2117919922
5 190 -9.5983762741
5 200 -9.6784486771
