# Layers Neurons R2_Score
1 10 0.6439569592
1 20 -0.6017021537
1 30 -3.2859890461
1 40 -2.5084691048
1 50 -5.7962746620
1 60 -1.9551465511
1 70 -1.3313492537
1 80 -4.7254509926
1 90 -1.2245272398
1 100 -8.5878381729
1 110 -2.8597023487
1 120 -3.3691849709
1 130 -2.7415170670
1 140 -1.8681948185
1 150 -4.6825790405
1 160 -6.3415617943
1 170 -4.8624739647
1 180 -6.7944207191
1 190 -3.2107634544
1 200 -3.6377167702
2 10 -0.0901610479
2 20 0.3541651070
2 30 -0.9586762786
2 40 -0.8703083992
2 50 -1.7682429552
2 60 -0.0128884995
2 70 -2.9955391884
2 80 -0.4260694683
2 90 -0.8042952418
2 100 -1.6122663021
2 110 0.1976032555
2 120 -0.6870548725
2 130 -0.3969438672
2 140 -0.5763108134
2 150 -1.0382708311
2 160 -1.5973865986
2 170 -0.4714691043
2 180 -1.3437689543
2 190 -0.7261344790
2 200 -0.1123158857
3 10 -0.0535807759
3 20 -0.2009773254
3 30 -0.5410361290
3 40 -0.2309765369
3 50 -1.0931936502
3 60 -0.3161379397
3 70 -0.8704263568
3 80 -3.6211864948
3 90 -1.8773443699
3 100 -2.9524235725
3 110 -0.7255136967
3 120 -0.8758774400
3 130 -0.7238165140
3 140 -0.8625193834
3 150 -4.4465413094
3 160 -1.4795193672
3 170 -0.4875221252
3 180 -3.9156136513
3 190 -1.3421725035
3 200 -1.5469862223
4 10 0.1474616975
4 20 -0.1667065173
4 30 -0.8698850870
4 40 0.3512164056
4 50 -0.7194973826
4 60 -1.4502047300
4 70 -2.9395720959
4 80 -3.6667864323
4 90 -1.1300293207
4 100 -1.5737159252
4 110 -1.5591679811
4 120 -3.6517457962
4 130 -2.8550925255
4 140 -5.2233433723
4 150 -1.6889591217
4 160 -1.4723181725
4 170 -1.3594510555
4 180 -2.5243990421
4 190 -1.5210764408
4 200 -0.6586761475
5 10 -0.1339809448
5 20 -0.0523096360
5 30 -2.1123576164
5 40 -1.6480743885
5 50 -0.7328755260
5 60 -2.5508518219
5 70 -2.2989645004
5 80 -3.6035225391
5 90 -4.6993422508
5 100 -2.1585793495
5 110 -2.7379944324
5 120 -1.4592782259
5 130 -1.4166580439
5 140 -2.3722929955
5 150 -0.9086287022
5 160 -2.0490226746
5 170 -7.3239893913
5 180 -1.0449136496
5 190 -2.0620105267
5 200 -2.7163169384
